Quarter,Time,Down,ToGo,Location,MIA,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Dan Carpenter kicks off 59 yards, returned by Dexter McCluster for 16 yards (tackle by Austin Spitler)",0.000,0.410
1,14:56,1,10,KAN 22,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 7 yards,0.410,0.810
1,14:34,2,3,KAN 29,0,0,Matt Cassel pass complete short right to Jake O'Connell for 3 yards (tackle by Kevin Burnett),0.810,1.070
1,14:07,1,10,KAN 32,0,0,Jackie Battle right guard for 3 yards (tackle by Kevin Burnett),1.070,0.930
1,13:28,2,7,KAN 35,0,0,Jackie Battle right guard for -1 yards (tackle by Karlos Dansby),0.930,0.100
1,12:44,3,8,KAN 34,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 15 yards (tackle by Sean Smith),0.100,2.190
1,12:07,1,10,KAN 49,0,0,Jackie Battle up the middle for 5 yards (tackle by Randy Starks),2.190,2.320
1,11:37,2,5,MIA 46,0,0,Jackie Battle left tackle for 4 yards (tackle by Paul Soliai and Koa Misi),2.320,2.150
1,11:02,3,1,MIA 42,0,0,Jackie Battle up the middle for 1 yard (tackle by Paul Soliai),2.150,2.850
1,10:36,1,10,MIA 41,0,0,"Penalty on Dwayne Bowe: False Start, 5 yards (no play)",2.850,2.520
1,10:14,1,15,MIA 46,0,0,Matt Cassel for 11 yards (tackle by Karlos Dansby),2.520,3.120
1,9:49,2,4,MIA 35,0,0,Thomas Jones up the middle for 5 yards (tackle by Yeremiah Bell),3.120,3.580
1,9:14,1,10,MIA 30,0,0,Thomas Jones up the middle for 1 yard (tackle by Kevin Burnett),3.580,3.170
1,8:35,2,9,MIA 29,0,0,Jackie Battle left end for -1 yards (tackle by Kevin Burnett and Koa Misi),3.170,2.340
1,7:56,3,10,MIA 30,0,0,Matt Cassel pass complete short right to Steve Breaston for 5 yards (tackle by Karlos Dansby),2.340,1.850
1,7:16,4,5,MIA 25,0,3,Ryan Succop 43 yard field goal good,1.850,3.000
1,,,,KAN 35,0,3,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,7:11,1,10,MIA 20,0,3,Matt Moore pass complete short left to Brandon Marshall for 6 yards (tackle by Brandon Carr and Derrick O. Johnson),0.280,0.540
1,6:36,2,4,MIA 26,0,3,Matt Moore pass complete deep right to Brandon Marshall for 30 yards (tackle by Brandon Flowers),0.540,2.650
1,5:48,1,10,KAN 44,0,3,Matt Moore pass incomplete short left intended for Brandon Marshall,2.650,2.110
1,5:43,2,10,KAN 44,0,3,"Reggie Bush right end for 38 yards (tackle by Kendrick Lewis). Penalty on Davone Bess: Illegal Motion (Offsetting), Penalty on Andy Studebaker: Illegal Use of Hands (Offsetting) (no play)",2.110,2.110
1,5:16,2,10,KAN 44,0,3,Matt Moore pass complete short right to Reggie Bush for 5 yards (tackle by Jovan Belcher),2.110,2.080
1,4:59,3,5,KAN 39,0,3,Matt Moore pass incomplete deep left intended for Davone Bess (defended by Kendrick Lewis),2.080,0.660
1,4:52,4,5,KAN 39,0,3,Brandon Fields punts 33 yards,0.660,0.380
1,4:43,1,10,KAN 6,0,3,Matt Cassel pass incomplete deep right intended for Steve Breaston,-0.380,-0.780
1,4:37,2,10,KAN 6,0,3,Jackie Battle up the middle for -1 yards (tackle by Karlos Dansby),-0.780,-1.540
1,3:55,,,,0,3,Timeout #1 by Kansas City Chiefs,0.000,-1.540
1,3:55,3,11,KAN 5,0,3,Matt Cassel pass incomplete short left intended for Dexter McCluster,-1.540,-2.490
1,3:51,4,11,KAN 5,0,3,"Dustin Colquitt punts 51 yards, returned by Davone Bess for 9 yards (tackle by Cory Greenwood)",-2.490,-2.460
1,3:39,1,10,KAN 47,0,3,Reggie Bush up the middle for 2 yards (tackle by Tamba Hali),2.460,2.180
1,2:58,2,8,KAN 45,0,3,Matt Moore pass incomplete short right intended for Brandon Marshall,2.180,1.490
1,2:54,3,8,KAN 45,0,3,Matt Moore pass complete short right to Brandon Marshall for 20 yards (tackle by Travis Daniels),1.490,3.910
1,2:13,1,10,KAN 25,0,3,Reggie Bush up the middle for 4 yards (tackle by Jovan Belcher and Derrick O. Johnson),3.910,3.900
1,1:26,2,6,KAN 21,0,3,Matt Moore pass complete short left to Reggie Bush for 18 yards (tackle by Kendrick Lewis),3.900,6.510
1,0:50,1,3,KAN 3,6,3,"Matt Moore pass complete short middle to Anthony Fasano for 3 yards, touchdown",6.510,7.000
1,,,,KAN 2,7,3,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 35,7,3,"Dan Carpenter kicks off 69 yards, returned by Dexter McCluster for 21 yards (tackle by Chris Clemons)",0.000,-0.060
1,0:41,1,10,KAN 17,7,3,Matt Cassel pass incomplete short right intended for Dexter McCluster,-0.060,-0.580
1,0:36,2,10,KAN 17,7,3,Matt Cassel pass complete short right to Jackie Battle for 9 yards (tackle by Nolan Carroll),-0.580,-0.120
Quarter,Time,Down,ToGo,Location,MIA,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,KAN 26,7,3,Matt Cassel left end for 3 yards (tackle by Randy Starks),-0.120,0.870
2,14:21,1,10,KAN 29,7,3,Jackie Battle right guard for 6 yards (tackle by Nolan Carroll),0.870,1.140
2,13:39,2,4,KAN 35,7,3,Matt Cassel right tackle for 3 yards (tackle by Karlos Dansby),1.140,0.830
2,12:59,3,1,KAN 38,7,3,Matt Cassel pass complete short right to Jonathan Baldwin for 12 yards (tackle by Nolan Carroll),0.830,2.260
2,12:26,1,10,,7,3,Matt Cassel pass incomplete deep right intended for Dwayne Bowe,2.260,1.710
2,12:18,2,10,,7,3,Matt Cassel sacked by Jared Odrick for 0 yards,1.710,1.030
2,11:35,3,10,,7,3,"Matt Cassel up the middle for 1 yard. Penalty on Matt Cassel: Illegal Forward Pass, 5 yards",1.030,-0.320
2,11:27,4,14,KAN 46,7,3,"Dustin Colquitt punts 32 yards, fair catch by Davone Bess",-0.320,-0.410
2,11:20,1,10,MIA 22,7,3,Matt Moore pass complete deep right to Charles Clay for 21 yards (tackle by Brandon Flowers),0.410,1.800
2,10:38,1,10,MIA 43,7,3,Matt Moore pass complete deep right to Charles Clay for 22 yards (tackle by Brandon Flowers),1.800,3.250
2,9:55,1,10,KAN 35,13,3,"Matt Moore pass complete deep left to Anthony Fasano for 35 yards, touchdown",3.250,7.000
2,,,,KAN 2,14,3,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 35,14,3,"Dan Carpenter kicks off 67 yards, returned by Dexter McCluster for 16 yards (tackle by Jimmy Wilson)",0.000,-0.280
2,9:35,1,10,KAN 14,14,3,Matt Cassel pass incomplete short right intended for Jackie Battle,-0.280,-0.750
2,9:30,2,10,KAN 14,14,3,Jackie Battle left end for 8 yards (tackle by Sean Smith),-0.750,-0.440
2,8:48,3,2,KAN 22,14,3,Matt Cassel pass complete short right to Le'Ron McClain for 4 yards (tackle by Koa Misi),-0.440,0.670
2,8:03,1,10,KAN 26,14,3,Matt Cassel sacked by Tony McDaniel for 0 yards,0.670,0.130
2,7:18,2,10,KAN 26,14,3,Jackie Battle up the middle for 8 yards (tackle by Karlos Dansby),0.130,0.500
2,6:36,3,2,KAN 34,14,3,Matt Cassel sacked by Kevin Burnett and Cameron Wake for -7 yards,0.500,-1.570
2,6:07,4,9,KAN 27,14,3,"Dustin Colquitt punts 54 yards, returned by Davone Bess for 14 yards (tackle by Cory Greenwood)",-1.570,-1.140
2,5:56,1,10,MIA 33,14,3,"Penalty on Glenn Dorsey: Encroachment, 5 yards (no play)",1.140,1.870
2,5:56,1,5,MIA 38,14,3,Matt Moore pass complete short right to Charles Clay for 7 yards (tackle by Brandon Flowers),1.870,1.930
2,5:22,1,10,MIA 45,14,3,Reggie Bush up the middle for 3 yards (tackle by Tyson Jackson),1.930,1.790
2,4:44,2,7,MIA 48,14,3,Matt Moore left guard for 5 yards (tackle by Jovan Belcher),1.790,1.750
2,3:57,3,2,KAN 47,14,3,Matt Moore pass complete short right to Davone Bess for no gain,1.750,0.130
2,3:19,4,2,KAN 47,14,3,"Brandon Fields punts 38 yards, fair catch by Dexter McCluster",0.130,0.380
2,3:12,1,10,KAN 9,14,3,Matt Cassel pass complete deep middle to Steve Breaston for 24 yards (tackle by Yeremiah Bell),-0.380,1.140
2,2:33,1,10,KAN 33,14,3,"Matt Cassel pass incomplete short right intended for Dwayne Bowe (defended by Jimmy Wilson). Penalty on Jimmy Wilson: Defensive Pass Interference, 12 yards (no play)",1.140,1.930
2,2:27,1,10,KAN 45,14,3,Thomas Jones right guard for -1 yards (tackle by Will Allen),1.930,1.250
2,2:00,2,11,KAN 44,14,3,Jackie Battle right guard for 5 yards (tackle by Will Allen),1.250,1.220
2,1:19,3,6,KAN 49,14,3,Dexter McCluster right end for 11 yards (tackle by Jason Taylor),1.220,2.920
2,0:49,1,10,MIA 40,14,3,Matt Cassel up the middle for 7 yards (tackle by Karlos Dansby),2.920,3.320
2,0:40,,,,14,3,Timeout #2 by Kansas City Chiefs,0.000,3.320
2,0:40,2,3,MIA 33,14,3,Matt Cassel pass incomplete short right intended for Jake O'Connell,3.320,2.610
2,0:36,3,3,MIA 33,14,3,Matt Cassel sacked by Tyrone Culver for -12 yards,2.610,0.270
2,0:01,,,,14,3,Timeout #3 by Kansas City Chiefs,0.000,0.000
2,0:01,,,,14,3,Timeout #1 by Miami Dolphins,0.000,0.270
2,0:01,4,15,MIA 45,14,3,Matt Cassel pass complete deep left to Steve Breaston for 24 yards (tackle by Kevin Burnett),0.270,1.000
Quarter,Time,Down,ToGo,Location,MIA,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,14,3,"Ryan Succop kicks off 69 yards, touchback",0.000,0.280
3,15:00,1,10,MIA 20,14,3,Reggie Bush up the middle for 4 yards (tackle by Glenn Dorsey and Jovan Belcher),0.280,0.270
