Quarter,Time,Tm,Detail,MIA,KAN
1.0,7:11,Chiefs,Ryan Succop 43 yard field goal,0,3
,0:46,Dolphins,Anthony Fasano 3 yard pass from Matt Moore (Dan Carpenter kick),7,3
2.0,9:41,Dolphins,Anthony Fasano 35 yard pass from Matt Moore (Dan Carpenter kick),14,3
3.0,8:38,Dolphins,Brandon Marshall 14 yard pass from Matt Moore (Dan Carpenter kick),21,3
,6:41,Dolphins,Reggie Bush 28 yard rush (Dan Carpenter kick),28,3
4.0,8:08,Dolphins,Dan Carpenter 42 yard field goal,31,3
