Unnamed: 0,IND,JAX
First Downs,9,21
Rush-Yds-TDs,13-54-0,37-96-1
Cmp-Att-Yd-TD-INT,16-30-195-0-3,25-30-235-2-0
Sacked-Yards,5-31,0-0
Net Pass Yards,164,235
Total Yards,218,331
Fumbles-Lost,2-0,0-0
Turnovers,3,0
Penalties-Yards,5-30,3-19
Third Down Conv.,2-10,6-15
Fourth Down Conv.,0-2,2-3
Time of Possession,21:45,38:15
