Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
2,10:56,2,3,MIN 27,7,3,Moe Williams right tackle for 4 yards (tackle by Dhani Jones),0.680,1.000
2,10:16,1,10,MIN 31,7,3,Daunte Culpepper pass complete to Nate Burleson for 16 yards (tackle by Ralph Brown),1.000,2.060
2,9:54,1,10,MIN 47,7,3,Onterrio Smith up the middle for no gain (tackle by Lance LeGree and Micheal Barrow),2.060,1.520
2,9:11,2,10,MIN 47,7,3,Daunte Culpepper up the middle for 12 yards (tackle by Shaun Williams),1.520,2.850
2,8:28,1,10,NYG 41,7,3,Moe Williams up the middle for 2 yards (tackle by Dhani Jones and Micheal Barrow),2.850,2.580
2,7:42,2,8,NYG 39,7,3,Daunte Culpepper pass incomplete intended for Moe Williams,2.580,1.880
2,7:42,3,8,NYG 39,7,3,"Penalty on Matt Birk: False Start, 5 yards (no play)",1.880,1.220
2,7:37,3,13,NYG 44,7,3,Daunte Culpepper pass complete to Moe Williams for 8 yards (tackle by Lance LeGree),1.220,0.880
2,6:48,4,5,NYG 36,7,3,Aaron Elling 54 yard field goal no good,0.880,-1.860
2,6:43,1,10,NYG 44,7,3,Kerry Collins pass complete to Tiki Barber for 21 yards (tackle by Brian Williams),1.860,3.250
2,6:03,1,10,MIN 35,7,3,Tiki Barber right end for 2 yards (tackle by Denard Walker),3.250,2.970
2,5:21,2,8,MIN 33,7,3,"Penalty on Chris Hovan: Encroachment, 5 yards (no play)",2.970,3.650
2,5:06,2,3,MIN 28,7,3,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",3.650,2.970
2,4:45,2,8,MIN 33,7,3,Kerry Collins pass complete to Tim Carter for 30 yards (tackle by Denard Walker),2.970,6.510
2,4:19,1,3,MIN 3,7,3,Tiki Barber up the middle for 1 yard (tackle by Henri Crockett and Chris Hovan),6.510,5.720
2,3:43,2,2,MIN 2,7,3,Kerry Collins pass incomplete intended for Jeremy Shockey (defended by Chris Claiborne),5.720,4.950
2,3:39,3,2,MIN 2,7,3,Kerry Collins pass incomplete intended for Jeremy Shockey,4.950,3.250
2,3:34,4,2,MIN 2,10,3,Brett Conway 20 yard field goal good,3.250,3.000
2,,,,NYG 30,10,3,"Brett Conway kicks off 67 yards, returned by Keenan Howry for 18 yards (tackle by Johnnie Harris)",0.000,0.340
2,3:25,1,10,MIN 21,10,3,Daunte Culpepper pass complete to Randy Moss for 10 yards,0.340,1.000
2,3:01,1,10,MIN 31,10,3,Daunte Culpepper pass complete to Jim Kleinsasser for 1 yard (tackle by Will Allen),1.000,0.600
2,2:18,2,9,MIN 32,10,3,Daunte Culpepper pass complete to Randy Moss for 35 yards (tackle by Will Allen),0.600,3.380
2,2:00,1,10,NYG 33,10,9,"Daunte Culpepper pass complete to Randy Moss for 33 yards, touchdown",3.380,7.000
2,,,,NYG 2,10,10,Aaron Elling kicks extra point good,0.000,0.000
2,,,,MIN 30,10,10,"Jose Cortez kicks off 72 yards, returned by Delvin Joyce for 24 yards (tackle by E.J. Henderson). Penalty on NYG: Illegal Block Above the Waist, 10 yards",0.000,-0.350
2,1:44,1,10,NYG 12,10,10,Kerry Collins pass complete to Ike Hilliard for 6 yards (tackle by Greg Biekert),-0.350,-0.070
2,1:20,,,,10,10,Timeout #1 by Minnesota Vikings,0.000,-0.070
2,1:20,2,4,NYG 18,10,10,Kerry Collins pass incomplete intended for Tim Carter,-0.070,-0.720
2,1:16,3,4,NYG 18,10,10,Kerry Collins pass complete to Ike Hilliard for 8 yards,-0.720,0.670
2,1:10,1,10,NYG 26,10,10,Kerry Collins pass complete to Ike Hilliard for 7 yards (tackle by Brian Williams),0.670,1.070
2,0:48,2,3,NYG 33,10,10,Kerry Collins pass complete to Tiki Barber for 7 yards (tackle by Greg Biekert),1.070,1.600
2,0:40,,,,10,10,Timeout #1 by New York Giants,0.000,1.600
2,0:40,1,10,NYG 40,10,10,Kerry Collins pass incomplete intended for Amani Toomer (defended by Ken Irvin),1.600,1.050
2,0:36,2,10,NYG 40,10,10,Kerry Collins pass complete to Amani Toomer for 22 yards (tackle by Ken Irvin),1.050,3.050
2,0:27,,,,10,10,Timeout #2 by New York Giants,0.000,3.050
2,0:27,1,10,MIN 38,10,10,Kerry Collins pass incomplete intended for Amani Toomer,3.050,2.510
2,0:20,2,10,MIN 38,10,10,Kerry Collins pass complete to Ike Hilliard for 12 yards (tackle by Brian Williams),2.510,3.840
2,0:15,,,,10,10,Timeout #3 by New York Giants,0.000,3.840
2,0:15,1,10,MIN 26,10,10,Kerry Collins pass incomplete intended for Tim Carter (defended by Denard Walker),3.840,3.300
2,0:09,2,10,MIN 26,13,10,Brett Conway 44 yard field goal good,3.300,3.000
2,,,,NYG 30,13,10,"Brett Conway kicks off 63 yards, returned by Doug Chapman for no gain",,
2,0:02,1,10,MIN 7,13,10,Daunte Culpepper up the middle for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,13,10,"Jose Cortez kicks off 58 yards, returned by Brian Mitchell for 16 yards (tackle by E.J. Henderson)",0.000,0.810
3,14:55,1,10,NYG 28,13,10,Kerry Collins pass complete to Amani Toomer for 51 yards (tackle by Corey Chavous). Penalty on Brian Russell: Illegal Contact (Declined),0.810,4.170
3,14:34,1,10,MIN 21,13,10,Tiki Barber right tackle for 4 yards (tackle by Chris Claiborne and Greg Biekert),4.170,4.200
3,14:02,2,6,MIN 17,13,10,Tiki Barber up the middle for -2 yards (tackle by Greg Biekert and Chris Claiborne),4.200,3.180
3,13:25,3,8,MIN 19,13,10,Kerry Collins pass incomplete intended for Amani Toomer,3.180,2.180
3,13:18,4,8,MIN 19,16,10,Brett Conway 37 yard field goal good,2.180,3.000
3,,,,NYG 30,16,10,"Brett Conway kicks off 55 yards, returned by Doug Chapman for 12 yards (tackle by Kevin Lewis)",0.000,0.740
3,13:10,1,10,MIN 27,16,10,Onterrio Smith right tackle for no gain (tackle by Michael Strahan),0.740,0.200
3,12:34,2,10,MIN 27,16,10,"Daunte Culpepper pass incomplete intended for Keenan Howry (defended by Frank Walker). Penalty on Will Allen: Defensive Holding, 5 yards (no play)",0.200,1.070
3,12:26,1,10,MIN 32,16,10,Onterrio Smith right end for 8 yards (tackle by Lance LeGree),1.070,1.610
3,12:05,2,2,MIN 40,16,10,Daunte Culpepper sacked by Kenny Holmes for -4 yards,1.610,0.370
3,11:47,3,6,MIN 36,16,10,Daunte Culpepper pass incomplete intended for Keenan Howry,0.370,-0.980
3,11:27,4,6,MIN 36,16,10,"Eddie Johnson punts 44 yards, fair catch by Brian Mitchell",-0.980,-0.280
3,11:19,1,10,NYG 20,16,10,"Kerry Collins pass complete to Tiki Barber for 27 yards (tackle by Brian Williams). Penalty on Luke Petitgout: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,10:51,1,20,NYG 10,16,10,Tiki Barber left tackle for 4 yards (tackle by Henri Crockett),-0.760,-1.180
3,10:12,2,16,NYG 14,16,10,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",-1.180,-1.580
3,9:51,2,21,NYG 9,16,10,Kerry Collins pass incomplete intended for Tiki Barber (defended by Kevin Williams),-1.580,-2.710
3,9:47,3,21,NYG 9,16,10,Kerry Collins pass incomplete intended for Tiki Barber,-2.710,-2.490
3,9:42,4,21,NYG 9,16,10,"Jeff Feagles punts 49 yards, returned by Keenan Howry for 11 yards (tackle by Kato Serwanga)",-2.490,-2.460
3,9:31,1,10,NYG 47,16,10,Daunte Culpepper pass complete to Randy Moss for 3 yards (tackle by Will Allen),2.460,2.320
3,9:07,2,7,NYG 44,16,10,Moe Williams up the middle for 6 yards (tackle by Micheal Barrow and Brandon Short),2.320,2.410
3,8:26,3,1,NYG 38,16,10,Moe Williams right guard for 1 yard (tackle by Micheal Barrow),2.410,3.120
3,7:54,1,10,NYG 37,16,10,Moe Williams right guard for 3 yards (tackle by Shaun Williams and Micheal Barrow),3.120,2.980
3,7:16,2,7,NYG 34,16,10,Daunte Culpepper pass complete to Nate Burleson for 32 yards (tackle by Shaun Williams),2.980,6.740
3,6:56,1,2,NYG 2,16,10,Onterrio Smith left guard for 1 yard (tackle by Micheal Barrow and Michael Strahan),6.740,5.910
3,6:28,2,1,NYG 1,16,16,"Daunte Culpepper pass complete to Randy Moss for 1 yard, touchdown",5.910,7.000
3,,,,NYG 2,16,17,Aaron Elling kicks extra point good,0.000,0.000
3,,,,MIN 30,16,17,"Jose Cortez kicks off 70 yards, touchback",0.000,0.280
3,6:22,1,10,NYG 20,16,17,Dorsey Levens left guard for 3 yards (tackle by Kevin Williams),0.280,0.140
3,5:51,2,7,NYG 23,16,17,"Kerry Collins pass incomplete intended for Amani Toomer. Penalty on Corey Chavous: Defensive Holding, 5 yards (no play)",0.140,0.810
3,5:45,1,10,NYG 28,16,17,Dorsey Levens up the middle for 2 yards (tackle by Kenny Mixon and Kevin Williams),0.810,0.530
3,5:11,2,8,NYG 30,16,17,Kerry Collins pass complete to Dorsey Levens for 6 yards (tackle by E.J. Henderson),0.530,0.630
3,4:30,3,2,NYG 36,16,17,Kerry Collins pass incomplete intended for Dorsey Levens,0.630,-0.980
3,4:24,4,2,NYG 36,16,17,"Jeff Feagles punts 42 yards, fair catch by Keenan Howry",-0.980,-0.410
3,4:15,1,10,MIN 22,16,17,Onterrio Smith up the middle for 5 yards (tackle by Brandon Short and Osi Umenyiora),0.410,0.540
3,3:36,2,5,MIN 27,16,17,"Onterrio Smith left end for 7 yards (tackle by Omar Stoutmire). Penalty on Omar Stoutmire: Illegal Use of Hands, 5 yards",0.540,1.530
3,3:10,1,10,MIN 39,16,17,"Daunte Culpepper sacked by Dhani Jones for -9 yards. Daunte Culpepper fumbles (forced by Dhani Jones), recovered by Daunte Culpepper at MIN-30",1.530,-0.230
3,2:35,2,19,MIN 30,16,17,Daunte Culpepper right end for 19 yards (tackle by Shaun Williams),-0.230,2.190
3,2:00,1,10,MIN 49,16,17,Daunte Culpepper pass incomplete intended for Nate Burleson,2.190,1.650
3,1:51,2,10,MIN 49,16,17,Onterrio Smith right end for 7 yards (tackle by Osi Umenyiora and Micheal Barrow),1.650,1.880
3,1:10,3,3,NYG 44,16,17,Daunte Culpepper right end for 5 yards (tackle by Micheal Barrow),1.880,2.980
3,0:26,1,10,NYG 39,16,17,Moe Williams up the middle for 1 yard (tackle by Dhani Jones),2.980,2.580
Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,NYG 38,16,17,Daunte Culpepper pass complete to Charles Stackhouse for 5 yards (tackle by Shaun Williams),2.580,2.540
4,14:14,3,4,NYG 33,16,17,Daunte Culpepper pass incomplete intended for Keenan Howry,2.540,1.180
4,14:14,4,4,NYG 33,16,17,"Penalty on MIN: Illegal Substitution, 5 yards (no play)",1.180,0.720
4,14:09,4,9,NYG 38,16,17,"Eddie Johnson punts 26 yards, fair catch by Brian Mitchell",0.720,0.350
4,14:02,1,10,NYG 12,16,17,Kerry Collins pass incomplete intended for Amani Toomer,-0.350,-0.780
4,13:53,2,10,NYG 12,16,17,Kerry Collins pass incomplete intended for Ike Hilliard (defended by Kenny Mixon),-0.780,-1.420
4,13:53,3,10,NYG 12,16,17,Kerry Collins pass incomplete intended for Amani Toomer (defended by Brian Williams),-1.420,-2.490
4,13:45,4,10,NYG 12,16,17,Jeff Feagles punts no gain,-2.490,0.610
4,12:54,1,10,NYG 25,16,17,Tiki Barber up the middle for no gain (tackle by Henri Crockett),0.610,0.060
4,12:19,2,10,NYG 25,16,17,Kerry Collins pass complete to Ike Hilliard for 13 yards (tackle by Ken Irvin),0.060,1.470
4,11:53,1,10,NYG 38,16,17,Kerry Collins sacked by Kevin Williams for -8 yards,1.470,-0.160
4,11:20,2,18,NYG 30,16,17,Kerry Collins pass incomplete intended for Ike Hilliard,-0.160,-0.820
4,11:16,3,18,NYG 30,16,17,Kerry Collins pass incomplete intended for Ike Hilliard,-0.820,-1.370
4,11:10,4,18,NYG 30,16,17,"Jeff Feagles punts 53 yards, returned by Keenan Howry for 7 yards (tackle by Kevin Lewis)",-1.370,-0.540
4,10:59,1,10,MIN 24,16,17,Moe Williams right guard for 38 yards (tackle by Frank Walker),0.540,3.050
4,10:31,1,10,NYG 38,16,17,Moe Williams up the middle for 10 yards (tackle by Omar Stoutmire),3.050,3.710
4,9:51,1,10,NYG 28,16,17,Onterrio Smith up the middle for 2 yards (tackle by Michael Strahan),3.710,3.440
4,9:15,2,8,NYG 26,16,17,Daunte Culpepper sacked by Michael Strahan for -1 yards,3.440,2.610
4,8:40,3,9,NYG 27,16,17,Daunte Culpepper sacked by Michael Strahan for -5 yards,2.610,1.240
4,8:40,4,14,NYG 32,16,17,Penalty on Eddie Johnson: Delay of Game (Declined),1.240,1.240
4,8:35,4,14,NYG 32,16,17,"Eddie Johnson punts 32 yards, touchback",1.240,-0.280
4,8:27,1,10,NYG 20,16,17,Tiki Barber left end for 11 yards (tackle by Chris Claiborne),0.280,1.000
4,7:57,1,10,NYG 31,16,17,Tiki Barber up the middle for 1 yard (tackle by Corey Chavous),1.000,0.600
4,7:22,2,9,NYG 32,16,17,"Kerry Collins pass complete to Jeremy Shockey for 46 yards (tackle by Corey Chavous). Penalty on Chris Hovan: Roughing the Passer, 11 yards",0.600,4.840
4,6:50,1,10,MIN 11,16,17,"Tiki Barber left end for 11 yards. Penalty on Wayne Lucier: Offensive Holding, 10 yards (no play)",4.840,4.170
4,6:47,1,20,MIN 21,16,17,Kerry Collins pass complete to Jeremy Shockey for 19 yards (tackle by Corey Chavous). Penalty on Denard Walker: Illegal Use of Hands (Declined),4.170,5.850
4,6:19,2,1,MIN 2,16,17,Dorsey Levens left guard for -1 yards (tackle by Kenny Mixon and Greg Biekert),5.850,4.890
4,5:36,3,2,MIN 3,16,17,"Kerry Collins pass incomplete intended for Jeremy Shockey. Penalty on Lance Johnstone: Defensive Offside, 1 yards (no play)",4.890,5.120
4,5:31,3,1,MIN 2,22,17,"Tiki Barber left tackle for 2 yards, touchdown",5.120,7.000
4,,,,,22,17,"Two Point Attempt: Kerry Collins pass incomplete intended for Ike Hilliard, conversion fails",1.000,-1.000
4,,,,NYG 30,22,17,"Brett Conway kicks off 62 yards, returned by Keenan Howry for 18 yards (tackle by Wesly Mallard)",0.000,0.670
4,5:24,1,10,MIN 26,22,17,Daunte Culpepper pass incomplete intended for Keenan Howry is intercepted by Frank Walker at MIN-35 and returned for 18 yards,0.670,-4.440
4,5:15,1,10,MIN 17,22,17,Tiki Barber up the middle for no gain (tackle by Kevin Williams),4.440,3.850
4,4:32,2,10,MIN 17,22,17,Kerry Collins right end for 3 yards,3.850,3.500
4,3:44,,,,22,17,Timeout #1 by New York Giants,0.000,3.500
4,3:44,3,7,MIN 14,28,17,"Kerry Collins pass complete to Ike Hilliard for 14 yards, touchdown",3.500,7.000
4,,,,MIN 2,29,17,Brett Conway kicks extra point good,0.000,0.000
4,,,,NYG 30,29,17,"Brett Conway kicks off 63 yards, returned by Keenan Howry for 23 yards (tackle by David Tyree)",0.000,0.940
4,3:33,1,10,MIN 30,29,17,Daunte Culpepper pass complete to Keenan Howry for 8 yards (tackle by Frank Walker),0.940,1.470
4,3:29,2,2,MIN 38,29,17,Daunte Culpepper pass complete to Keenan Howry for 7 yards (tackle by Frank Walker),1.470,1.930
4,3:05,1,10,MIN 45,29,17,Daunte Culpepper pass incomplete intended for Keenan Howry,1.930,1.380
4,2:59,2,10,MIN 45,29,17,Daunte Culpepper pass incomplete intended for Moe Williams (defended by Shaun Williams),1.380,0.700
4,2:52,3,10,MIN 45,29,17,"Penalty on Randy Moss: False Start, 5 yards (no play)",0.700,0.040
4,2:52,3,15,MIN 40,29,17,Daunte Culpepper pass incomplete intended for Randy Moss,0.040,-0.720
4,2:45,,,,29,17,Timeout #1 by Minnesota Vikings,0.000,-0.720
4,2:45,4,15,MIN 40,29,17,Daunte Culpepper pass incomplete intended for Randy Moss,-0.720,-2.920
4,2:39,1,10,MIN 40,29,17,Tiki Barber left tackle for 3 yards (tackle by Henri Crockett),2.920,2.780
4,2:33,,,,29,17,Timeout #2 by Minnesota Vikings,0.000,2.780
4,2:33,2,7,MIN 37,29,17,Tiki Barber left end for 12 yards (tackle by Chris Claiborne),2.780,3.910
4,2:00,1,10,MIN 25,29,17,Tiki Barber right end for -1 yards (tackle by Corey Chavous),3.910,3.230
4,1:53,,,,29,17,Timeout #3 by Minnesota Vikings,0.000,3.230
4,1:53,2,11,MIN 26,29,17,Kerry Collins for -1 yards,3.230,2.410
4,1:11,3,12,MIN 27,29,17,Kerry Collins for -1 yards,2.410,1.590
4,0:28,,,,29,17,Timeout #2 by New York Giants,0.000,1.590
4,0:28,4,13,MIN 28,29,17,Tiki Barber left end for -4 yards (tackle by Greg Biekert),1.590,-1.070
4,0:24,1,10,MIN 32,29,17,Daunte Culpepper pass complete to Moe Williams for 11 yards (tackle by Brandon Short),1.070,1.800
4,0:17,1,10,MIN 43,29,17,Daunte Culpepper pass incomplete intended for Randy Moss,1.800,1.250
4,0:11,2,10,MIN 43,29,17,"Daunte Culpepper right end for 13 yards (tackle by Brandon Short). Penalty on Will Allen: Illegal Contact, 5 yards",1.250,2.980
4,0:03,1,10,NYG 39,29,17,Daunte Culpepper pass incomplete intended for Nate Burleson is intercepted by Johnnie Harris at NYG-1,2.980,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
