Unnamed: 0,NYG,MIN
First Downs,26,22
Rush-Yds-TDs,28-83-1,28-137-0
Cmp-Att-Yd-TD-INT,23-39-375-2-1,18-31-241-2-2
Sacked-Yards,1-8,4-19
Net Pass Yards,367,222
Total Yards,450,359
Fumbles-Lost,1-0,1-0
Turnovers,1,2
Penalties-Yards,10-75,9-52
Third Down Conv.,4-11,4-11
Fourth Down Conv.,0-1,0-1
Time of Possession,30:21,29:39
