Unnamed: 0,CIN,CAR
First Downs,21,17
Rush-Yds-TDs,37-120-1,24-87-1
Cmp-Att-Yd-TD-INT,19-37-195-1-2,16-33-188-0-1
Sacked-Yards,1-10,1-8
Net Pass Yards,185,180
Total Yards,305,267
Fumbles-Lost,1-0,4-3
Turnovers,2,4
Penalties-Yards,8-74,6-45
Third Down Conv.,5-17,2-11
Fourth Down Conv.,2-2,0-2
Time of Possession,36:22,23:38
