Quarter,Time,Tm,Detail,CIN,CAR
1.0,4:21,Bengals,Cedric Benson 1 yard rush (Mike Nugent kick),7,0
2.0,1:10,Bengals,Mike Nugent 33 yard field goal,10,0
3.0,8:16,Panthers,Jonathan Stewart 1 yard rush (John Kasay kick),10,7
4.0,14:53,Bengals,Mike Nugent 50 yard field goal,13,7
,8:11,Bengals,Cedric Benson 7 yard pass from Carson Palmer (Mike Nugent kick),20,7
