Quarter,Time,Tm,Detail,WAS,LAR
1.0,7:39,Rams,Lucas Havrisik 22 yard field goal,0,3
2.0,2:19,Rams,Kyren Williams 1 yard rush (Lucas Havrisik kick),0,10
,0:03,Rams,Lucas Havrisik 27 yard field goal,0,13
3.0,14:07,Rams,Cooper Kupp 62 yard pass from Matthew Stafford (Lucas Havrisik kick),0,20
,6:25,Commanders,Curtis Samuel 19 yard pass from Sam Howell (Joey Slye kick),7,20
4.0,13:25,Rams,Demarcus Robinson 23 yard pass from Matthew Stafford (Kyren Williams run),7,28
,7:17,Commanders,Terry McLaurin 29 yard pass from Jacoby Brissett (Joey Slye kick),14,28
,1:46,Commanders,Curtis Samuel 3 yard pass from Jacoby Brissett (Joey Slye kick failed),20,28
