Unnamed: 0,WAS,LAR
First Downs,14,23
Rush-Yds-TDs,21-79-0,37-196-1
Cmp-Att-Yd-TD-INT,19-36-226-3-1,25-33-258-2-0
Sacked-Yards,1-8,3-9
Net Pass Yards,218,249
Total Yards,297,445
Fumbles-Lost,1-0,2-2
Turnovers,1,2
Penalties-Yards,3-28,5-36
Third Down Conv.,3-14,9-16
Fourth Down Conv.,3-5,0-0
Time of Possession,24:07,35:53
