Quarter,Time,Tm,Detail,SFO,CHI
1.0,12:05,Bears,Robbie Gould 43 yard field goal,0,3
,10:39,Bears,Thomas Jones 7 yard rush (Robbie Gould kick),0,10
,1:55,Bears,Muhsin Muhammad 5 yard pass from Rex Grossman (Robbie Gould kick),0,17
,1:02,Bears,Cedric Benson 1 yard rush (Robbie Gould kick),0,24
2.0,10:33,Bears,Desmond Clark 1 yard pass from Rex Grossman (Robbie Gould kick),0,31
,3:15,Bears,Robbie Gould 36 yard field goal,0,34
,0:10,Bears,Desmond Clark 27 yard pass from Rex Grossman (Robbie Gould kick),0,41
4.0,11:35,49ers,Joe Nedney 23 yard field goal,3,41
,6:49,49ers,Antonio Bryant 16 yard pass from Alex Smith (Joe Nedney kick),10,41
