Unnamed: 0,SFO,CHI
First Downs,12,24
Rush-Yds-TDs,19-127-0,35-145-2
Cmp-Att-Yd-TD-INT,14-25-135-1-2,25-32-263-3-0
Sacked-Yards,2-14,1-6
Net Pass Yards,121,257
Total Yards,248,402
Fumbles-Lost,4-3,2-0
Turnovers,5,0
Penalties-Yards,5-38,5-49
Third Down Conv.,3-10,7-14
Fourth Down Conv.,0-1,1-2
Time of Possession,22:55,37:05
