Unnamed: 0,PIT,CLE
First Downs,19,19
Rush-Yds-TDs,34-85-0,16-55-0
Cmp-Att-Yd-TD-INT,22-34-217-2-0,27-52-333-1-1
Sacked-Yards,0-0,5-21
Net Pass Yards,217,312
Total Yards,302,367
Fumbles-Lost,0-0,3-3
Turnovers,0,4
Penalties-Yards,2-8,2-10
Third Down Conv.,4-14,6-17
Fourth Down Conv.,0-1,1-2
Time of Possession,33:39,26:21
