Quarter,Time,Tm,Detail,PIT,CLE
1.0,10:03,Steelers,Shaun Suisham 47 yard field goal,3,0
,7:21,Browns,Billy Cundiff 49 yard field goal,3,3
2.0,2:33,Steelers,Antonio Brown 41 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,3
,0:07,Steelers,Shaun Suisham 32 yard field goal,13,3
3.0,7:43,Steelers,Emmanuel Sanders 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),20,3
4.0,4:27,Steelers,William Gay 21 yard interception return (Shaun Suisham kick),27,3
,3:13,Browns,Josh Gordon 1 yard pass from Brandon Weeden (Davone Bess pass from Brandon Weeden),27,11
