Quarter,Time,Tm,Detail,DET,MIN
1,9:38,Vikings,Ryan Longwell 33 yard field goal,0,3
,5:19,Vikings,Ryan Longwell 41 yard field goal,0,6
2,6:01,Vikings,Adrian Peterson 6 yard rush (Ryan Longwell kick),0,13
,0:09,Vikings,Visanthe Shiancoe 8 yard pass from Donovan McNabb (Ryan Longwell kick),0,20
3,9:22,Lions,Calvin Johnson 32 yard pass from Matthew Stafford (Jason Hanson kick),7,20
,3:14,Lions,Jason Hanson 28 yard field goal,10,20
4,14:55,Lions,Calvin Johnson 5 yard pass from Matthew Stafford (Jason Hanson kick),17,20
,5:20,Lions,Jason Hanson 50 yard field goal,20,20
,2:30,Lions,Jason Hanson 40 yard field goal,23,20
,1:11,Vikings,Ryan Longwell 49 yard field goal,23,23
OT,13:01,Lions,Jason Hanson 32 yard field goal,26,23
