Unnamed: 0,DET,MIN
First Downs,19,16
Rush-Yds-TDs,19-20-0,23-132-1
Cmp-Att-Yd-TD-INT,32-46-378-2-0,22-36-211-1-0
Sacked-Yards,5-40,4-22
Net Pass Yards,338,189
Total Yards,358,321
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,7-65,10-79
Third Down Conv.,7-17,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,34:09,27:50
