Unnamed: 0,NYG,GNB
First Downs,21,15
Rush-Yds-TDs,35-245-1,19-81-0
Cmp-Att-Yd-TD-INT,20-26-187-1-1,20-36-220-1-2
Sacked-Yards,4-29,0-0
Net Pass Yards,158,220
Total Yards,403,301
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,8-76,7-72
Third Down Conv.,3-12,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,35:53,24:07
