Quarter,Time,Tm,Detail,LAR,HOU
1.0,9:32,Rams,Darrell Henderson 3 yard pass from Matthew Stafford (Matt Gay kick),7,0
2.0,8:51,Rams,Matt Gay 27 yard field goal,10,0
,6:09,Rams,Robert Woods 2 yard pass from Matthew Stafford (Matt Gay kick),17,0
,0:30,Rams,Darrell Henderson 1 yard rush (Matt Gay kick),24,0
3.0,7:55,Rams,Cooper Kupp 11 yard pass from Matthew Stafford (Matt Gay kick),31,0
,0:02,Rams,Robert Woods 16 yard rush (Matt Gay kick),38,0
4.0,8:08,Texans,Rex Burkhead 1 yard rush (Ka'imi Fairbairn kick),38,7
,5:00,Texans,Brandin Cooks 45 yard pass from Davis Mills (Ka'imi Fairbairn kick),38,14
,2:35,Texans,Brevin Jordan 9 yard pass from Davis Mills (Davis Mills run),38,22
