Unnamed: 0,TAM,NOR
First Downs,18,21
Rush-Yds-TDs,18-75-0,30-98-2
Cmp-Att-Yd-TD-INT,22-42-219-2-1,24-31-381-4-0
Sacked-Yards,2-4,1-11
Net Pass Yards,215,370
Total Yards,290,468
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,8-78,9-94
Third Down Conv.,3-13,7-13
Fourth Down Conv.,1-3,1-2
Time of Possession,25:48,34:12
