Quarter,Time,Tm,Detail,TAM,NOR
1.0,10:15,Saints,Lance Moore 44 yard pass from Drew Brees (Shayne Graham kick),0,7
,8:40,Buccaneers,Tiquan Underwood 48 yard pass from Mike Glennon (Rian Lindell kick),7,7
,3:08,Saints,Jimmy Graham 10 yard pass from Drew Brees (Shayne Graham kick),7,14
2.0,8:04,Saints,Robert Meachem 41 yard pass from Drew Brees (Shayne Graham kick),7,21
,3:28,Buccaneers,Tim Wright 1 yard pass from Mike Glennon (Rian Lindell kick),14,21
,2:40,Saints,Kenny Stills 76 yard pass from Drew Brees (Shayne Graham kick),14,28
3.0,6:35,Buccaneers,Rian Lindell 54 yard field goal,17,28
,1:22,Saints,Pierre Thomas 8 yard rush (Shayne Graham kick),17,35
4.0,14:08,Saints,Drew Brees 9 yard rush (Shayne Graham kick),17,42
