Unnamed: 0,MIN,CAR
First Downs,21,15
Rush-Yds-TDs,21-100-0,36-216-3
Cmp-Att-Yd-TD-INT,27-44-280-2-2,13-25-137-1-1
Sacked-Yards,6-24,2-8
Net Pass Yards,256,129
Total Yards,356,345
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,2-30,6-48
Third Down Conv.,7-15,5-15
Fourth Down Conv.,0-1,0-0
Time of Possession,28:42,31:18
