Quarter,Time,Tm,Detail,MIN,CAR
1.0,10:55,Panthers,Jonathan Stewart 60 yard rush (Graham Gano kick),0,7
,6:28,Vikings,Kyle Rudolph 18 yard pass from Case Keenum (Kai Forbath kick),7,7
2.0,14:16,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),7,14
,5:02,Vikings,Kai Forbath 30 yard field goal,10,14
,0:07,Vikings,Kai Forbath 22 yard field goal,13,14
3.0,8:42,Panthers,Devin Funchess 18 yard pass from Cam Newton (Graham Gano kick),13,21
,6:51,Panthers,Graham Gano 41 yard field goal,13,24
4.0,5:36,Vikings,Adam Thielen 52 yard pass from Case Keenum (Blake Bell pass from Case Keenum),21,24
,3:07,Vikings,Kai Forbath 27 yard field goal,24,24
,1:47,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),24,31
