Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,MIN 25,0,0,Latavius Murray left guard for 3 yards (tackle by Daryl Worley),0.610,0.470
1,14:28,2,7,MIN 28,0,0,Latavius Murray middle for -4 yards (tackle by Julius Peppers),0.470,-0.760
1,13:46,3,11,MIN 24,0,0,Case Keenum pass complete short left to Adam Thielen for 12 yards (tackle by Luke Kuechly),-0.760,1.330
1,13:05,1,10,MIN 36,0,0,Jerick McKinnon middle for -4 yards (tackle by Mario Addison),1.330,0.250
1,12:39,2,14,MIN 32,0,0,Case Keenum pass incomplete deep left intended for Adam Thielen is intercepted by Daryl Worley at CAR-31,0.250,-1.000
1,12:30,1,10,CAR 31,0,0,Cam Newton right end for 6 yards (tackle by Danielle Hunter),1.000,1.270
1,11:51,2,4,CAR 37,0,0,Cam Newton pass complete short left to Damiere Byrd for 3 yards (tackle by Trae Waynes),1.270,0.960
1,11:06,3,1,CAR 40,0,6,"Jonathan Stewart right guard for 60 yards, touchdown",0.960,7.000
1,10:55,,,MIN 15,0,7,"Penalty on Michael Palardy: Delay of Game, 5 yards (no play)",0.000,0.000
1,10:55,,,MIN 20,0,7,Graham Gano kicks extra point good,0.000,0.000
1,10:55,,,CAR 35,0,7,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,10:55,1,10,MIN 25,0,7,Case Keenum pass complete short left to Stefon Diggs for 6 yards (tackle by Daryl Worley),0.610,0.870
1,10:25,2,4,MIN 31,0,7,Case Keenum right guard for 1 yard (tackle by Kawann Short),0.870,0.300
1,9:51,3,3,MIN 32,0,7,Case Keenum left end for 6 yards (tackle by Luke Kuechly),0.300,1.470
1,9:07,1,10,MIN 38,0,7,Latavius Murray middle for 2 yards (tackle by Colin Jones and Luke Kuechly),1.470,1.190
1,8:42,2,8,MIN 40,0,7,Case Keenum pass complete short left to Adam Thielen for 15 yards (tackle by Daryl Worley and Luke Kuechly),1.190,2.590
1,8:14,1,10,CAR 45,0,7,Case Keenum pass complete short right to Stefon Diggs for 12 yards,2.590,3.380
1,7:49,1,10,CAR 33,0,7,Jerick McKinnon right tackle for 9 yards (tackle by Vernon Butler),3.380,4.050
1,7:19,2,1,CAR 24,0,7,Jerick McKinnon left tackle for 6 yards (tackle by Luke Kuechly),4.050,4.370
1,6:41,1,10,CAR 18,0,7,Case Keenum pass incomplete short right intended for Adam Thielen,4.370,3.800
1,6:33,2,10,CAR 18,6,7,"Case Keenum pass complete deep left to Kyle Rudolph for 18 yards, touchdown",3.800,7.000
1,6:28,,,CAR 15,7,7,Kai Forbath kicks extra point good,0.000,0.000
1,6:28,,,MIN 35,7,7,"Kai Forbath kicks off 62 yards, returned by Damiere Byrd for 16 yards (tackle by Kentrell Brothers). Penalty on Cameron Artis-Payne: Illegal Block Above the Waist, 8 yards",0.000,0.370
1,6:21,1,10,CAR 11,7,7,Cam Newton left guard for 1 yard (tackle by Tom Johnson),-0.370,-0.710
1,5:45,2,9,CAR 12,7,7,Cam Newton pass complete deep right to Brenton Bersin for 17 yards (tackle by Andrew Sendejo),-0.710,0.870
1,5:09,1,10,CAR 29,7,7,Cam Newton pass incomplete deep middle intended for Kaelin Clay,0.870,0.330
1,5:00,2,10,CAR 29,7,7,Cam Newton sacked by Linval Joseph for -6 yards. Penalty on Matt Kalil: Face Mask (15 Yards) (Declined),0.330,-1.150
1,4:30,3,16,CAR 23,7,7,"Cam Newton pass complete short left to Christian McCaffrey for 5 yards (tackle by Everson Griffen). Penalty on Anthony Barr: Face Mask (15 Yards), 15 yards",-1.150,1.800
1,4:08,1,10,CAR 43,7,7,Jonathan Stewart right guard for 2 yards (tackle by Eric Kendricks and Linval Joseph),1.800,1.520
1,3:30,2,8,CAR 45,7,7,"Cam Newton sacked by Everson Griffen for -2 yards. Penalty on Everson Griffen: Face Mask (15 Yards), 15 yards",1.520,2.790
1,3:05,1,10,MIN 42,7,7,Christian McCaffrey left guard for 5 yards (tackle by Eric Kendricks and Anthony Barr),2.790,2.920
1,2:26,2,5,MIN 37,7,7,Christian McCaffrey left end for 6 yards (tackle by Eric Kendricks and Shamar Stephen),2.920,3.510
1,1:44,1,10,MIN 31,7,7,Christian McCaffrey right tackle for 4 yards (tackle by Everson Griffen and Linval Joseph),3.510,3.510
1,1:02,2,6,MIN 27,7,7,Cam Newton pass complete deep left to Devin Funchess for 22 yards (tackle by Xavier Rhodes),3.510,6.060
1,0:26,1,5,MIN 5,7,7,Cam Newton middle for no gain (tackle by Everson Griffen and Eric Kendricks),6.060,5.150
Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,MIN 5,7,7,Jonathan Stewart middle for 4 yards (tackle by Eric Kendricks and Linval Joseph),5.150,5.170
2,14:22,3,1,MIN 1,7,13,"Jonathan Stewart left tackle for 1 yard, touchdown",5.170,7.000
2,14:16,,,MIN 15,7,14,Graham Gano kicks extra point good,0.000,0.000
2,14:16,,,CAR 35,7,14,"Graham Gano kicks off 64 yards, returned by Mack Brown for 17 yards (tackle by Andrew Gachkar)",0.000,-0.040
2,14:11,1,10,MIN 18,7,14,"Case Keenum pass incomplete short left intended for Stefon Diggs. Penalty on Thomas Davis: Defensive Pass Interference, 12 yards (no play)",0.040,0.940
2,14:07,1,10,MIN 30,7,14,Case Keenum pass incomplete deep left intended for Kyle Rudolph,0.940,0.390
2,14:02,2,10,MIN 30,7,14,Case Keenum pass complete short left to Blake Bell for 1 yard (tackle by Luke Kuechly and Vernon Butler),0.390,-0.160
2,13:14,3,9,MIN 31,7,14,Case Keenum pass incomplete short left intended for Laquon Treadwell,-0.160,-1.310
2,13:11,4,9,MIN 31,7,14,"Ryan Quigley punts 48 yards, returned by Kaelin Clay for 7 yards (tackle by Blake Bell)",-1.310,-0.810
2,13:00,1,10,CAR 28,7,14,Cam Newton pass incomplete deep right intended for Greg Olsen,0.810,0.260
2,12:56,2,10,CAR 28,7,14,Jonathan Stewart middle for 5 yards (tackle by Danielle Hunter),0.260,0.230
2,12:17,3,5,CAR 33,7,14,Cam Newton pass complete short left to Damiere Byrd for 4 yards (tackle by Trae Waynes),0.230,-0.910
2,11:35,4,1,CAR 37,7,14,"Michael Palardy punts 55 yards, returned by Marcus Sherels for no gain. Marcus Sherels fumbles (forced by Russell Shepard), recovered by Marcus Sherels at MIN-8",-0.910,0.380
2,11:22,1,10,MIN 10,7,14,Case Keenum pass complete short left to Latavius Murray for 4 yards (tackle by Daryl Worley),-0.380,-0.460
2,10:52,2,6,MIN 14,7,14,Latavius Murray right end for 4 yards (tackle by Luke Kuechly),-0.460,-0.480
2,10:14,3,2,MIN 18,7,14,Case Keenum pass incomplete deep left intended for Stefon Diggs (defended by Captain Munnerlyn),-0.480,-2.240
2,10:08,4,2,MIN 18,7,14,"Ryan Quigley punts 46 yards, fair catch by Kaelin Clay",-2.240,-1.330
2,10:01,1,10,CAR 36,7,14,Cam Newton pass incomplete short middle intended for Devin Funchess (defended by Xavier Rhodes),1.330,0.790
