Unnamed: 0,NYG,PHI
First Downs,14,28
Rush-Yds-TDs,26-106-1,35-170-2
Cmp-Att-Yd-TD-INT,16-32-188-1-1,24-38-301-1-1
Sacked-Yards,1-2,1-6
Net Pass Yards,186,295
Total Yards,292,465
Fumbles-Lost,1-0,4-1
Turnovers,1,2
Penalties-Yards,3-13,9-65
Third Down Conv.,4-14,8-15
Fourth Down Conv.,3-5,2-2
Time of Possession,25:22,34:38
