Quarter,Time,Tm,Detail,NYG,PHI
1.0,12:27,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),0,7
,8:04,Giants,Mason Crosby 52 yard field goal,3,7
2.0,14:53,Eagles,Jake Elliott 28 yard field goal,3,10
,11:44,Eagles,DeVonta Smith 36 yard pass from Jalen Hurts (Jake Elliott kick),3,17
,0:00,Eagles,Jake Elliott 21 yard field goal,3,20
3.0,13:41,Giants,Saquon Barkley 7 yard rush (Mason Crosby kick),10,20
,0:09,Giants,Adoree' Jackson 76 yard interception return (Saquon Barkley run),18,20
4.0,11:07,Eagles,D'Andre Swift 5 yard rush (Jake Elliott kick),18,27
,6:04,Eagles,Jake Elliott 44 yard field goal,18,30
,5:22,Giants,Darius Slayton 69 yard pass from Tyrod Taylor (Mason Crosby kick),25,30
,1:10,Eagles,Jake Elliott 43 yard field goal,25,33
