Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
2,13:41,3,5,NYG 30,3,10,Tommy DeVito pass complete short right to Matt Breida for 3 yards (tackle by Kevin Byard),0.040,-1.180
2,13:02,4,2,NYG 33,3,10,"Jamie Gillan punts 31 yards, returned by Britain Covey for 12 yards (tackle by Tomon Fox)",-1.180,-2.130
2,12:52,1,10,PHI 48,3,10,Jalen Hurts right tackle for 16 yards (tackle by Bobby Okereke),2.130,3.180
2,11:56,1,10,NYG 36,3,10,Jalen Hurts pass incomplete short right intended for DeVonta Smith,3.180,2.640
2,11:52,2,10,NYG 36,3,16,"Jalen Hurts pass complete short middle to DeVonta Smith for 36 yards, touchdown",2.640,7.000
2,11:44,,,NYG 15,3,17,Jake Elliott kicks extra point good,0.000,0.000
2,11:44,,,PHI 35,3,17,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,11:44,1,10,NYG 25,3,17,Saquon Barkley right guard for 12 yards (tackle by Reed Blankenship),0.610,1.400
2,11:09,1,10,NYG 37,3,17,Saquon Barkley left guard for 2 yards (tackle by Josh Sweat),1.400,1.130
2,10:32,2,8,NYG 39,3,17,Tommy DeVito pass incomplete short right,1.130,0.430
2,10:26,3,8,NYG 39,3,17,"Tommy DeVito sacked by Shaquille Leonard for -2 yards. Penalty on John Michael Schmitz: Offensive Holding, 10 yards (declined)",0.430,-0.910
2,10:11,4,10,NYG 37,3,17,"Jamie Gillan punts 41 yards, recovered by Britain Covey at PHI-22 (tackle by Dane Belton)",-0.910,-0.150
2,10:03,1,10,PHI 19,3,17,D'Andre Swift left guard for -5 yards (tackle by Dexter Lawrence),0.150,-1.110
2,9:25,2,15,PHI 14,3,17,Jalen Hurts scrambles left end for 1 yard (tackle by Dexter Lawrence),-1.110,-1.760
2,8:42,3,14,PHI 15,3,17,Jalen Hurts pass incomplete deep left intended for Julio Jones,-1.760,-2.440
2,8:37,4,14,PHI 15,3,17,"Braden Mann punts 54 yards, returned by Gunner Olszewski for 6 yards (tackle by Sydney Brown and Brandon Smith)",-2.440,-1.400
2,8:27,1,10,NYG 37,3,17,Tommy DeVito pass incomplete short right intended for Darren Waller,1.400,0.860
2,8:22,2,10,NYG 37,3,17,Tommy DeVito up the middle for 5 yards (tackle by Jordan Davis),0.860,0.830
2,7:46,3,5,NYG 42,3,17,Tommy DeVito pass incomplete short right,0.830,-0.590
2,7:36,4,5,NYG 42,3,17,"Jamie Gillan punts, returned by Britain Covey for no gain. Penalty on Jalen Carter: Defensive Offside, 4 yards (accepted) (no play)",-0.590,-0.320
2,7:26,4,1,NYG 46,3,17,Saquon Barkley right guard for 10 yards (tackle by Reed Blankenship),-0.320,2.650
2,6:53,1,10,PHI 44,3,17,Saquon Barkley right guard for 2 yards (tackle by Fletcher Cox and Ben VanSumeren),2.650,2.380
2,6:14,2,8,PHI 42,3,17,Saquon Barkley right guard for 5 yards (tackle by Shaquille Leonard),2.380,2.350
2,5:36,3,3,PHI 37,3,17,Saquon Barkley left guard for 2 yards (tackle by Ben VanSumeren),2.350,1.000
2,4:58,4,1,PHI 35,3,17,Saquon Barkley left guard for 5 yards (tackle by Ben VanSumeren),1.000,3.580
2,4:22,1,10,PHI 30,3,17,Tommy DeVito pass complete short right to Daniel Bellinger for 2 yards (tackle by Kelee Ringo),3.580,3.300
2,3:41,2,8,PHI 28,3,17,Tommy DeVito pass incomplete short right intended for Daniel Bellinger,3.300,2.610
2,3:32,3,8,PHI 28,3,17,Tommy DeVito pass complete short left to Daniel Bellinger for 7 yards (tackle by Reed Blankenship),2.610,2.210
2,2:51,4,1,PHI 21,3,17,Saquon Barkley up the middle for -4 yards (tackle by Haason Reddick),2.210,-0.610
2,2:47,1,10,PHI 25,3,17,Jalen Hurts pass complete short left to Kenneth Gainwell for 19 yards (tackle by Jihad Ward),0.610,1.860
2,2:13,1,10,PHI 44,3,17,Jalen Hurts pass complete short left to Kenneth Gainwell for 13 yards (tackle by Xavier McKinney),1.860,2.720
2,2:00,1,10,NYG 43,3,17,Jalen Hurts pass complete short right to Dallas Goedert for 6 yards (tackle by Jason Pinnock),2.720,2.990
2,1:34,2,4,NYG 37,3,17,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by A'Shawn Robinson),2.990,2.280
2,1:30,3,4,NYG 37,3,17,Jalen Hurts right end for 5 yards (tackle by Deonte Banks),2.280,3.450
2,1:06,1,10,NYG 32,3,17,Jalen Hurts pass incomplete short right,3.450,2.900
2,0:58,2,10,NYG 32,3,17,Kenneth Gainwell left end for 4 yards. Kenneth Gainwell fumbles (forced by Jason Pinnock). Kenneth Gainwell fumbles out of bounds,2.900,2.740
2,0:31,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:31,3,6,NYG 28,3,17,Jalen Hurts pass complete short right to DeVonta Smith for 19 yards (tackle by Isaiah Simmons),2.740,5.140
2,0:24,,,,,,Timeout #1 by New York Giants,,
2,0:24,1,9,NYG 9,3,17,Jalen Hurts sacked by and Jihad Ward for -6 yards and Xavier McKinney for -6 yards,5.140,3.460
2,0:18,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:18,2,15,NYG 15,3,17,Jalen Hurts scrambles right end for 9 yards (tackle by Bobby Okereke),3.460,4.040
2,0:04,3,6,NYG 6,3,17,"Penalty on Bobby Okereke: Defensive Delay of Game, 3 yards (accepted) (no play)",4.040,4.720
2,0:04,3,3,NYG 3,3,20,Jake Elliott 21 yard field goal good,4.720,3.000
Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,3,20,"Mason Crosby kicks off 65 yards, returned by Boston Scott for 15 yards. Boston Scott fumbles (forced by Isaiah Simmons), recovered by Isaiah Simmons at PHI-15 and returned for 1 yard",0.000,-4.650
3,14:55,1,10,PHI 14,3,20,Saquon Barkley left guard for 5 yards (tackle by Fletcher Cox and Ben VanSumeren),4.650,4.900
