Quarter,Time,Tm,Detail,BAL,CLE
2.0,7:42,Browns,Phil Dawson 37 yard field goal,0,3
3.0,5:57,Ravens,Matt Stover 42 yard field goal,3,3
,0:24,Browns,Quincy Morgan 46 yard pass from Jeff Garcia (Phil Dawson kick),3,10
4.0,7:18,Browns,Phil Dawson 25 yard field goal,3,13
,4:20,Browns,Jeff Garcia 3 yard rush (Phil Dawson kick),3,20
