Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CHI 20,0,0,Matt Forte left guard for 3 yards (tackle by Julius Peppers and Jamari Lattimore),0.280,0.140
1,14:22,2,7,CHI 23,0,0,Matt Forte right guard for 8 yards (tackle by Micah Hyde),0.140,1.000
1,13:41,1,10,CHI 31,0,0,Jay Cutler pass complete short right to Alshon Jeffery for 9 yards (tackle by Tramon Williams),1.000,1.680
1,13:19,2,1,CHI 40,0,0,Matt Forte left tackle for 5 yards (tackle by Jamari Lattimore and Micah Hyde),1.680,1.930
1,12:33,1,10,CHI 45,0,0,Ka'Deem Carey left guard for 3 yards (tackle by Mike Neal),1.930,1.790
1,12:03,2,7,CHI 48,0,0,Jay Cutler pass complete short left to Martellus Bennett for 15 yards (tackle by Tramon Williams),1.790,3.120
1,11:26,1,10,GNB 37,0,0,Matt Forte right guard for 4 yards (tackle by A.J. Hawk),3.120,3.110
1,10:49,2,6,GNB 33,0,0,Jay Cutler pass complete short right to Matt Forte for 2 yards (tackle by A.J. Hawk),3.110,2.680
1,10:04,3,4,GNB 31,0,0,"Jay Cutler right end for 12 yards. Penalty on Julius Peppers: Illegal Use of Hands, 5 yards",2.680,4.650
1,9:32,1,10,GNB 14,0,0,Ka'Deem Carey left tackle for 4 yards (tackle by A.J. Hawk and Clay Matthews),4.650,4.710
1,9:32,2,6,GNB 10,0,0,"Penalty on CHI: Illegal Substitution, 5 yards (no play)",4.710,3.850
1,8:51,2,11,GNB 15,0,0,Matt Forte left guard for 6 yards (tackle by A.J. Hawk),3.850,4.050
1,8:10,3,5,GNB 9,0,0,Jay Cutler pass complete short middle to Matt Forte for 6 yards (tackle by Micah Hyde and A.J. Hawk),4.050,6.510
1,7:23,1,3,GNB 3,0,0,Matt Forte right guard for -3 yards (tackle by Letroy Guion),6.510,4.950
1,6:39,2,6,GNB 6,0,0,Jay Cutler pass incomplete short left intended for Martellus Bennett,4.950,4.040
1,6:35,3,6,GNB 6,0,6,"Jay Cutler pass complete short right to Brandon Marshall for 6 yards, touchdown",4.040,7.000
1,6:35,,,GNB 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,6:35,,,CHI 35,0,7,"Robbie Gould kicks off 68 yards, returned by Micah Hyde for 22 yards (tackle by Khaseem Greene)",0.000,-0.150
1,6:25,1,10,GNB 19,0,7,Aaron Rodgers pass complete short right to Richard Rodgers for 9 yards (tackle by Ryan Mundy),0.150,0.880
1,6:04,2,1,GNB 28,0,7,Aaron Rodgers pass complete deep right to Richard Rodgers for 43 yards (tackle by Ryan Mundy),0.880,3.640
1,5:27,1,10,CHI 29,0,7,Aaron Rodgers pass complete short left to Jordy Nelson for 17 yards (tackle by Chris Conte and Jonathan Bostic),3.640,4.780
1,4:53,1,10,CHI 12,0,7,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Tim Jennings),4.780,6.740
1,4:19,1,2,CHI 2,0,7,Aaron Rodgers pass incomplete short right intended for Jordy Nelson (defended by Tim Jennings),6.740,5.720
1,4:16,2,2,CHI 2,6,7,"Eddie Lacy right guard for 2 yards, touchdown",5.720,7.000
1,4:16,,,CHI 2,7,7,Mason Crosby kicks extra point good,0.000,0.000
1,4:16,,,GNB 35,7,7,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,4:08,1,10,CHI 20,7,7,Matt Forte right tackle for 17 yards (tackle by A.J. Hawk),0.280,1.400
1,3:26,1,10,CHI 37,7,7,Matt Forte left guard for 7 yards (tackle by Ha Ha Clinton-Dix),1.400,1.800
1,2:46,2,3,CHI 44,7,7,Ka'Deem Carey right guard for 12 yards (tackle by Morgan Burnett),1.800,2.650
1,2:07,1,10,GNB 44,7,7,Matt Forte left tackle for 9 yards (tackle by Ha Ha Clinton-Dix),2.650,3.330
1,1:23,2,1,GNB 35,7,7,Jay Cutler pass incomplete short left intended for Brandon Marshall,3.330,2.610
1,1:19,3,1,GNB 35,7,7,Matt Forte right tackle for no gain (tackle by Morgan Burnett),2.610,2.610
1,0:45,3,1,GNB 35,7,7,Timeout #1 by Green Bay Packers,2.610,1.000
1,0:45,4,1,GNB 35,7,7,"Jay Cutler for no gain. Jay Cutler fumbles, recovered by Jay Cutler at GNB-36 for 16 yards. Penalty on Sam Shields: Unnecessary Roughness, 10 yards",1.000,4.910
1,0:24,1,10,GNB 10,7,7,Jay Cutler pass complete short right to Josh Morgan for 9 yards (tackle by Morgan Burnett),4.910,5.910
