Unnamed: 0,GNB,CHI
First Downs,21,33
Rush-Yds-TDs,18-56-1,41-235-0
Cmp-Att-Yd-TD-INT,22-28-302-4-0,23-35-265-2-2
Sacked-Yards,1-0,1-4
Net Pass Yards,302,261
Total Yards,358,496
Fumbles-Lost,0-0,3-0
Turnovers,0,2
Penalties-Yards,9-70,6-46
Third Down Conv.,4-8,7-11
Fourth Down Conv.,0-0,2-3
Time of Possession,23:38,36:22
