Unnamed: 0,CIN,PIT
First Downs,15,27
Rush-Yds-TDs,25-87-0,38-170-2
Cmp-Att-Yd-TD-INT,18-26-193-4-2,18-39-208-0-3
Sacked-Yards,6-34,3-13
Net Pass Yards,159,195
Total Yards,246,365
Fumbles-Lost,3-1,2-2
Turnovers,3,5
Penalties-Yards,5-45,2-25
Third Down Conv.,4-12,7-16
Fourth Down Conv.,1-1,3-3
Time of Possession,26:09,33:51
