Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 65 yards, returned by Kenny Watson for 34 yards (tackle by Bryant McFadden)",0.000,1.530
1,14:53,1,10,CIN 39,0,0,Rudi Johnson left guard for no gain (tackle by Larry Foote),1.530,0.990
1,14:14,2,10,CIN 39,0,0,Rudi Johnson middle for 7 yards (tackle by Larry Foote),0.990,1.220
1,13:39,3,3,CIN 46,0,0,Carson Palmer pass incomplete short middle intended for Chris Henry (defended by Aaron Smith),1.220,-0.320
1,13:34,4,3,CIN 46,0,0,"Kyle Larson punts 54 yards, touchback",-0.320,-0.280
1,13:25,1,10,PIT 20,0,0,Ben Roethlisberger pass incomplete deep right intended for Cedrick Wilson,0.280,-0.270
1,13:14,2,10,PIT 20,0,0,Willie Parker middle for no gain (tackle by John Thornton),-0.270,-0.960
1,12:32,3,10,PIT 20,0,0,Ben Roethlisberger pass complete short left to Cedrick Wilson for 36 yards (tackle by Tory James),-0.960,2.650
1,11:56,1,10,CIN 44,0,0,Willie Parker middle for 1 yard (tackle by Landon Johnson and Robert Geathers),2.650,2.250
1,11:12,2,9,CIN 43,0,0,Ben Roethlisberger pass complete short middle to Heath Miller for 8 yards (tackle by Johnathan Joseph),2.250,2.610
1,10:29,3,1,CIN 35,0,0,Ben Roethlisberger pass complete short right to Willie Parker for 13 yards (tackle by Herana-Daze Jones),2.610,4.110
1,9:58,1,10,CIN 22,0,0,"Ben Roethlisberger pass incomplete deep left intended for Cedrick Wilson. Penalty on Tory James: Illegal Contact, 5 yards (no play)",4.110,4.440
1,9:52,1,10,CIN 17,0,0,Cedrick Wilson right end for 14 yards (tackle by Deltha O'Neal),4.440,6.510
1,9:09,1,3,CIN 3,0,6,"Willie Parker middle for 3 yards, touchdown",6.510,7.000
1,9:09,,,CIN 2,0,7,Jeff Reed kicks extra point good,0.000,0.000
1,9:04,,,PIT 30,0,7,"Jeff Reed kicks off 64 yards, returned by Kenny Watson for 18 yards (tackle by Clint Kriewaldt). Penalty on Arnold Harrison: Unnecessary Roughness (Offsetting), Penalty on Ahmad Brooks: Unnecessary Roughness (Offsetting)",0.000,0.540
1,8:58,1,10,CIN 24,0,7,Rudi Johnson right tackle for 6 yards (tackle by Brett Keisel and Larry Foote),0.540,0.810
1,8:31,2,4,CIN 30,0,7,Rudi Johnson left end for 1 yard (tackle by Aaron Smith),0.810,0.230
1,8:00,3,3,CIN 31,0,7,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 6 yards (tackle by James Farrior),0.230,1.400
1,7:19,1,10,CIN 37,0,7,Rudi Johnson middle for 3 yards (tackle by Casey Hampton),1.400,1.260
1,6:43,2,7,CIN 40,0,7,Rudi Johnson left tackle for no gain (tackle by James Farrior and Larry Foote),1.260,0.560
1,6:43,3,7,CIN 40,0,7,"Carson Palmer sacked by Clark Haggans for -5 yards. Carson Palmer fumbles (forced by Clark Haggans), recovered by Kenny Watson at CIN-37 and returned for 11 yards",0.560,2.130
1,6:43,1,10,CIN 48,0,7,"Carson Palmer sacked by Larry Foote for -5 yards. Carson Palmer fumbles (forced by Larry Foote), recovered by Eric Ghiaciuc at CIN-43",2.130,0.910
1,6:43,2,15,CIN 43,0,7,Carson Palmer pass incomplete short right intended for Chris Henry is intercepted by Deshea Townsend at PIT-46,0.910,-1.990
1,4:26,1,10,PIT 46,0,7,Willie Parker right tackle for 5 yards (tackle by Landon Johnson),1.990,2.130
1,3:50,2,5,CIN 49,0,7,Willie Parker left guard for 9 yards (tackle by Kevin Kaesviharn and Rashad Jeanty),2.130,2.920
1,3:10,1,10,CIN 40,0,7,Ben Roethlisberger pass incomplete deep right intended for Hines Ward,2.920,2.370
1,3:03,2,10,CIN 40,0,7,Willie Parker right end for 9 yards (tackle by Kevin Kaesviharn),2.370,2.870
1,2:24,3,1,CIN 31,0,7,Willie Parker middle for 2 yards (tackle by Deltha O'Neal and Domata Peko),2.870,3.640
1,1:43,1,10,CIN 29,0,7,Ben Roethlisberger pass incomplete short right intended for Hines Ward,3.640,3.100
1,1:35,2,10,CIN 29,0,7,Ben Roethlisberger pass incomplete short right intended for Hines Ward,3.100,2.410
1,1:32,3,10,CIN 29,0,7,Ben Roethlisberger pass complete short middle to Heath Miller for 13 yards (tackle by Brian Simmons),2.410,4.510
1,0:45,1,10,CIN 16,0,7,Willie Parker right end for 7 yards (tackle by Deltha O'Neal),4.510,5.160
1,0:13,2,3,CIN 9,0,7,Willie Parker middle for 3 yards (tackle by Domata Peko and Caleb Miller),5.160,5.830
Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,6,CIN 6,0,7,Ben Roethlisberger pass incomplete short middle intended for Heath Miller is intercepted by Madieu Williams at CIN--6 and returned for 9 yards,5.830,0.380
2,14:53,1,10,CIN 3,0,7,Rudi Johnson middle for 2 yards (tackle by Mike Logan),-0.380,-0.630
2,14:18,2,8,CIN 5,0,7,Rudi Johnson middle for 1 yard (tackle by Aaron Smith and Ike Taylor),-0.630,-1.070
2,13:39,3,7,CIN 6,0,7,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 18 yards (tackle by Ryan Clark),-1.070,0.540
2,12:57,1,10,CIN 24,0,7,Rudi Johnson left tackle for no gain (tackle by Clark Haggans and Casey Hampton),0.540,0.000
2,12:20,2,10,CIN 24,0,7,Carson Palmer pass complete short left to Chad Johnson for 11 yards (tackle by Deshea Townsend),0.000,1.270
2,11:44,1,10,CIN 35,0,7,Carson Palmer pass complete short middle to Rudi Johnson for 5 yards (tackle by Larry Foote),1.270,1.400
2,11:05,2,5,CIN 40,0,7,Carson Palmer pass complete short middle to Rudi Johnson for 5 yards (tackle by James Farrior),1.400,1.930
2,10:36,1,10,CIN 45,0,7,"Penalty on Bobbie Williams: False Start, 5 yards (no play)",1.930,1.600
2,10:10,,,,0,7,Timeout #1 by Cincinnati Bengals,0.000,1.600
2,10:10,1,15,CIN 40,0,7,Carson Palmer middle for 5 yards (tackle by Larry Foote),1.600,1.380
2,9:36,2,10,CIN 45,0,7,Carson Palmer pass complete deep middle to Chris Henry for 20 yards (tackle by Troy Polamalu),1.380,3.250
2,8:53,1,10,PIT 35,0,7,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 3 yards (tackle by Deshea Townsend),3.250,3.110
2,8:20,2,7,PIT 32,0,7,Carson Palmer pass complete short right to Chris Henry for 9 yards (tackle by Ike Taylor),3.110,4.040
