Quarter,Time,Tm,Detail,NOR,NWE
1.0,7:02,Saints,Tyrann Mathieu 27 yard interception return (Blake Grupe kick),7,0
2.0,14:23,Saints,Alvin Kamara 2 yard rush (Blake Grupe kick),14,0
,10:47,Saints,Chris Olave 5 yard pass from Derek Carr (Blake Grupe kick),21,0
3.0,11:34,Saints,Blake Grupe 54 yard field goal,24,0
4.0,13:03,Saints,Foster Moreau 6 yard pass from Derek Carr (Blake Grupe kick),31,0
,5:43,Saints,Blake Grupe 53 yard field goal,34,0
