Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Chad Ryland kicks off 61 yards, returned by Rashid Shaheed for 18 yards (tackle by Jabrill Peppers)",0.000,0.410
1,14:55,1,10,NOR 22,0,0,Alvin Kamara up the middle for 3 yards (tackle by Ja'Whaun Bentley),0.410,0.270
1,14:30,2,7,NOR 25,0,0,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Ja'Whaun Bentley),0.270,-0.030
1,13:53,3,4,NOR 28,0,0,Derek Carr pass complete short right to Michael Thomas for 14 yards (tackle by Myles Bryant),-0.030,1.730
1,13:18,1,10,NOR 42,0,0,Derek Carr scrambles left tackle for 5 yards (tackle by Ja'Whaun Bentley),1.730,1.860
1,12:41,2,5,NOR 47,0,0,Alvin Kamara right tackle for 8 yards (tackle by Deatrich Wise),1.860,2.590
1,12:03,1,10,NWE 45,0,0,Derek Carr pass incomplete deep left intended for Chris Olave,2.590,2.040
1,11:58,2,10,NWE 45,0,0,"Alvin Kamara left tackle for no gain (tackle by Ja'Whaun Bentley and Kyle Dugger). Penalty on Christian Barmore: Defensive Holding, 5 yards (offset) . Penalty on Adam Prentice: Offensive Holding, 10 yards (offset) (no play)",2.040,2.040
1,11:29,2,10,NWE 45,0,0,Derek Carr pass incomplete deep left intended for Michael Thomas (defended by Shaun Wade),2.040,1.360
1,11:23,3,10,NWE 45,0,0,Derek Carr sacked by Ja'Whaun Bentley for -9 yards,1.360,-0.320
1,10:40,4,19,NOR 46,0,0,Lou Hedley punts downed by Isaac Yiadom (no play),-0.320,-0.650
1,10:28,4,24,NOR 41,0,0,"Lou Hedley punts 53 yards, fair catch by Jabrill Peppers at NE-6",-0.650,0.380
1,10:21,1,10,NWE 6,0,0,Rhamondre Stevenson right guard for 8 yards (tackle by Demario Davis and Alontae Taylor),-0.380,-0.170
1,9:42,2,2,NWE 14,0,0,Mac Jones pass incomplete deep right intended for Kendrick Bourne,-0.170,-0.480
1,9:37,3,2,NWE 14,0,0,Mac Jones pass incomplete deep left intended for Hunter Henry,-0.480,-2.470
1,9:32,4,2,NWE 14,0,0,Bryce Baringer punts 26 yards out of bounds,-2.470,-2.920
1,9:25,1,10,NWE 40,0,0,Alvin Kamara right end for 4 yards (tackle by Deatrich Wise),2.920,2.910
1,8:56,2,6,NWE 36,0,0,Derek Carr pass complete short right to Alvin Kamara for 2 yards (tackle by J.C. Jackson),2.910,2.480
1,8:23,3,4,NWE 34,0,0,"Penalty on Chris Olave: False Start, 5 yards (accepted) (no play)",2.480,1.820
1,8:02,3,9,NWE 39,0,0,Derek Carr pass incomplete short middle intended for Jimmy Graham,1.820,0.660
1,7:58,4,9,NWE 39,0,0,"Lou Hedley punts 39 yards, touchback.",0.660,-0.280
1,7:49,1,10,NWE 20,0,0,Rhamondre Stevenson up the middle for 4 yards (tackle by Carl Granderson and Nathan Shepherd),0.280,0.270
1,7:16,2,6,NWE 24,0,0,Mac Jones pass incomplete short middle intended for Rhamondre Stevenson,0.270,-0.430
1,7:11,3,6,NWE 24,6,0,"Mac Jones pass short middle intended for Rhamondre Stevenson is intercepted by Tyrann Mathieu at NE-27 and returned for 27 yards, touchdown",-0.430,-7.000
1,7:02,,,NWE 15,7,0,Blake Grupe kicks extra point good,0.000,0.000
1,7:02,,,NOR 35,7,0,"Blake Grupe kicks off 67 yards, returned by Ty Montgomery for 23 yards (tackle by Ty Summers and D'Marco Jackson)",0.000,0.340
1,6:57,1,10,NWE 21,7,0,Mac Jones pass complete short right to Ezekiel Elliott for 3 yards (tackle by Alontae Taylor),0.340,0.210
1,6:29,2,7,NWE 24,7,0,Ty Montgomery right end for no gain (tackle by Tanoh Kpassagnon),0.210,-0.490
1,5:47,3,7,NWE 24,7,0,"Mac Jones pass complete deep left to Demario Douglas for 24 yards (tackle by Marshon Lattimore). Penalty on Marshon Lattimore: Unnecessary Roughness / Defense, 15 yards (accepted) NOR challenged the pass completion ruling, and the play was upheld.",-0.490,3.120
1,5:36,1,10,NOR 37,7,0,Ezekiel Elliott left guard for 3 yards (tackle by Nathan Shepherd),3.120,2.980
1,5:01,2,7,NOR 34,7,0,Ezekiel Elliott left end for -4 yards (tackle by Carl Granderson),2.980,1.750
1,4:20,3,11,NOR 38,7,0,Mac Jones pass complete short left to Mike Gesicki for 8 yards (tackle by Johnathan Abram),1.750,1.480
1,3:45,4,3,NOR 30,7,0,Chad Ryland 48 yard field goal no good,1.480,-1.470
1,3:39,1,10,NOR 38,7,0,Kendre Miller right guard for 3 yards (tackle by Davon Godchaux and Deatrich Wise),1.470,1.330
1,2:57,2,7,NOR 41,7,0,"Penalty on Foster Moreau: False Start, 5 yards (accepted) (no play)",1.330,0.650
1,2:43,,,,,,Timeout #1 by New England Patriots,,
1,2:43,2,12,NOR 36,7,0,Derek Carr pass complete short right to Taysom Hill for 1 yard (tackle by Kyle Dugger),0.650,0.100
1,2:02,3,11,NOR 37,7,0,Derek Carr pass complete deep middle to Michael Thomas for 26 yards (tackle by Jalen Mills),0.100,3.120
1,1:28,1,10,NWE 37,7,0,Alvin Kamara up the middle for 4 yards (tackle by Anfernee Jennings and Ja'Whaun Bentley),3.120,3.110
1,0:59,2,6,NWE 33,7,0,Derek Carr pass complete deep left to Rashid Shaheed for 25 yards (tackle by Jabrill Peppers),3.110,5.370
1,0:24,1,8,NWE 8,7,0,Alvin Kamara up the middle for 3 yards (tackle by Deatrich Wise and Adrian Phillips),5.370,5.150
Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,NWE 5,7,0,Alvin Kamara up the middle for 3 yards (tackle by Jahlani Tavai),5.150,5.120
2,14:27,3,1,NWE 2,13,0,"Alvin Kamara right guard for 2 yards, touchdown",5.120,7.000
2,14:23,,,NWE 15,14,0,Blake Grupe kicks extra point good,0.000,0.000
2,14:23,,,NOR 35,14,0,"Blake Grupe kicks off 67 yards, returned by Ty Montgomery for 19 yards (tackle by D'Marco Jackson)",0.000,-0.060
2,14:18,1,10,NWE 17,14,0,Mac Jones pass incomplete short right intended for Demario Douglas,-0.060,-0.580
2,14:14,2,10,NWE 17,14,0,Rhamondre Stevenson right tackle for 4 yards (tackle by Demario Davis and Malcolm Roach),-0.580,-0.750
2,13:36,3,6,NWE 21,14,0,Mac Jones pass incomplete deep right intended for DeVante Parker (defended by Paulson Adebo),-0.750,-1.960
2,13:22,4,6,NWE 21,14,0,"Bryce Baringer punts 43 yards out of bounds. Penalty on Matthew Slater: Illegal Touch Kick, 5 yards (accepted)",-1.960,-1.660
2,13:22,1,10,NOR 41,14,0,Derek Carr pass complete short right to Kendre Miller for 33 yards (tackle by Adrian Phillips),1.660,3.840
2,12:43,1,10,NWE 26,14,0,Alvin Kamara right guard for 7 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),3.840,4.270
2,12:06,2,3,NWE 19,14,0,Taysom Hill scrambles right end for 12 yards (tackle by Josh Uche),4.270,5.600
2,11:28,1,7,NWE 7,14,0,Alvin Kamara right guard for 2 yards (tackle by Lawrence Guy),5.600,5.150
2,10:53,2,5,NWE 5,20,0,"Derek Carr pass complete short middle to Chris Olave for 5 yards, touchdown",5.150,7.000
2,10:47,,,NWE 15,21,0,Blake Grupe kicks extra point good,0.000,0.000
2,10:47,,,NOR 35,21,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
2,10:47,1,10,NWE 25,21,0,Ezekiel Elliott left tackle for 8 yards (tackle by Marshon Lattimore),0.610,1.140
2,10:18,2,2,NWE 33,21,0,Ezekiel Elliott right tackle for 2 yards (tackle by Marshon Lattimore and Khalen Saunders),1.140,1.270
2,9:40,1,10,NWE 35,21,0,Mac Jones pass complete short right to Ezekiel Elliott for 2 yards (tackle by Demario Davis),1.270,0.990
2,8:59,2,8,NWE 37,21,0,"Penalty on Kendrick Bourne: False Start, 5 yards (accepted) (no play)",0.990,0.320
2,8:43,2,13,NWE 32,21,0,"Mac Jones pass complete short right to Ezekiel Elliott for no gain. Penalty on Bryan Bresee: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.320,1.400
2,8:15,1,10,NWE 37,21,0,Mac Jones pass complete short right to JuJu Smith-Schuster for 2 yards (tackle by Jordan Howden),1.400,1.130
2,7:41,2,8,NWE 39,21,0,Rhamondre Stevenson right end for no gain (tackle by Paulson Adebo and Marshon Lattimore),1.130,0.430
2,6:59,3,8,NWE 39,21,0,Mac Jones pass incomplete deep right intended for DeVante Parker (defended by Paulson Adebo),0.430,-0.780
2,6:52,4,8,NWE 39,21,0,"Bryce Baringer punts 45 yards, fair catch by Rashid Shaheed at NO-16",-0.780,0.140
2,6:44,1,10,NOR 16,21,0,Kendre Miller right end for 2 yards (tackle by Ja'Whaun Bentley and Jonathan Jones),-0.140,-0.350
2,6:05,2,8,NOR 18,21,0,Derek Carr pass complete short right to Kendre Miller for 11 yards (tackle by Jonathan Jones and Kyle Dugger),-0.350,0.870
2,5:24,1,10,NOR 29,21,0,Kendre Miller right end for 4 yards (tackle by Jahlani Tavai and Ja'Whaun Bentley),0.870,0.870
2,4:49,2,6,NOR 33,21,0,Derek Carr pass complete short right to Michael Thomas for 12 yards (tackle by Shaun Wade),0.870,1.930
2,4:13,1,10,NOR 45,21,0,Taysom Hill right guard for 6 yards (tackle by Jonathan Jones and Jahlani Tavai),1.930,2.190
2,3:32,2,4,NWE 49,21,0,Alvin Kamara right tackle for 6 yards (tackle by Christian Barmore),2.190,2.720
2,2:49,1,10,NWE 43,21,0,"Penalty on Foster Moreau: False Start, 5 yards (accepted) (no play)",2.720,2.390
2,2:35,1,15,NWE 48,21,0,Derek Carr pass complete short right to Chris Olave for 7 yards,2.390,2.450
2,2:00,2,8,NWE 41,21,0,Alvin Kamara right tackle for no gain (tackle by Anfernee Jennings),2.450,1.750
2,1:17,3,8,NWE 41,21,0,Derek Carr pass incomplete deep left intended for Chris Olave,1.750,0.530
2,1:11,4,8,NWE 41,21,0,Lou Hedley punts 23 yards,0.530,-0.040
2,1:03,1,10,NWE 18,21,0,"Mac Jones pass incomplete short right intended for DeVante Parker Replay Assistant challenged the pass completion ruling, and the original play was overturned. Mac Jones pass complete short right to DeVante Parker for 14 yards",0.040,1.070
2,0:59,1,10,NWE 32,21,0,Mac Jones pass complete short right to Kendrick Bourne for 15 yards (tackle by Demario Davis),1.070,2.060
2,0:42,1,10,NWE 47,21,0,"Mac Jones pass complete short right to Kendrick Bourne for no gain. Penalty on Paulson Adebo: Defensive Pass Interference, 12 yards (accepted) (no play)",2.060,2.850
2,0:37,1,10,NOR 41,21,0,Mac Jones sacked by and Cameron Jordan for -8 yards and Tanoh Kpassagnon for -8 yards,2.850,1.230
2,0:34,,,,,,Timeout #2 by New England Patriots,,
2,0:34,2,18,NOR 49,21,0,Mac Jones pass complete short left to Ezekiel Elliott for 4 yards (tackle by Alontae Taylor),1.230,1.090
2,0:22,3,14,NOR 45,21,0,Mac Jones sacked by Carl Granderson for -13 yards,1.090,-0.590
2,0:15,,,,,,Timeout #2 by New Orleans Saints,,
2,0:15,4,27,NWE 42,21,0,"Bryce Baringer punts 54 yards, returned by Rashid Shaheed for 10 yards (tackle by Matthew Slater)",-0.590,0.280
2,0:05,1,10,NOR 14,21,0,Derek Carr kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,21,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,21,0,Mac Jones pass complete short left to JuJu Smith-Schuster for 1 yard (tackle by Alontae Taylor),0.610,0.200
3,14:29,2,9,NWE 26,21,0,Rhamondre Stevenson left guard for 8 yards (tackle by Pete Werner),0.200,0.560
3,14:04,3,1,NWE 34,21,0,"Mac Jones aborted snap, recovered by Cameron Jordan at NE-29",0.560,-3.640
3,14:00,1,10,NWE 29,21,0,Derek Carr pass complete short right to Keith Kirkwood for 1 yard (tackle by Jahlani Tavai and Anfernee Jennings),3.640,3.240
3,13:24,2,9,NWE 28,21,0,Alvin Kamara right tackle for 4 yards (tackle by Deatrich Wise),3.240,3.070
3,12:45,3,5,NWE 24,21,0,"Penalty on Rashid Shaheed: False Start, 5 yards (accepted) (no play)",3.070,2.410
3,12:21,3,10,NWE 29,21,0,Derek Carr sacked by Myles Bryant for -6 yards,2.410,0.880
3,11:40,4,17,NWE 36,24,0,Blake Grupe 54 yard field goal good,0.880,3.000
3,11:34,,,NOR 35,24,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
