Unnamed: 0,TEN,OAK
First Downs,31,20
Rush-Yds-TDs,19-61-1,22-57-0
Cmp-Att-Yd-TD-INT,40-61-492-4-1,21-37-371-5-1
Sacked-Yards,3-26,2-13
Net Pass Yards,466,358
Total Yards,527,415
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,5-47,5-39
Third Down Conv.,9-17,5-12
Fourth Down Conv.,1-3,0-0
Time of Possession,35:03,24:57
