Unnamed: 0,WAS,DAL
First Downs,28,19
Rush-Yds-TDs,17-62-0,25-75-0
Cmp-Att-Yd-TD-INT,34-55-367-2-1,22-32-293-4-1
Sacked-Yards,1-6,1-6
Net Pass Yards,361,287
Total Yards,423,362
Fumbles-Lost,1-1,3-0
Turnovers,2,1
Penalties-Yards,3-71,7-58
Third Down Conv.,5-13,8-13
Fourth Down Conv.,1-1,0-0
Time of Possession,29:45,30:15
