Unnamed: 0,STL,MIN
First Downs,23,17
Rush-Yds-TDs,36-168-3,22-82-2
Cmp-Att-Yd-TD-INT,19-31-248-1-0,21-35-225-1-2
Sacked-Yards,0-0,4-14
Net Pass Yards,248,211
Total Yards,416,293
Fumbles-Lost,0-0,3-0
Turnovers,0,2
Penalties-Yards,4-62,5-35
Third Down Conv.,5-12,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,31:54,28:06
