Quarter,Time,Tm,Detail,STL,MIN
1.0,13:38,Rams,Ron Bartell 38 yard interception return (Jeff Wilkins kick),7,0
,6:44,Rams,Jeff Wilkins 42 yard field goal,10,0
,2:04,Vikings,Tarvaris Jackson 1 yard rush (Ryan Longwell kick),10,7
2.0,8:12,Rams,Steven Jackson 4 yard rush (Jeff Wilkins kick),17,7
,1:15,Rams,Steven Jackson 10 yard pass from Marc Bulger (Jeff Wilkins kick),24,7
3.0,11:24,Rams,Jeff Wilkins 53 yard field goal,27,7
,4:16,Rams,Steven Jackson 2 yard rush (Jeff Wilkins kick),34,7
4.0,11:09,Rams,Steven Jackson 59 yard rush (Jeff Wilkins kick),41,7
,9:28,Vikings,Chester Taylor 1 yard rush (Ryan Longwell kick),41,14
,2:21,Vikings,Travis Taylor 3 yard pass from Tarvaris Jackson (Ryan Longwell kick),41,21
