Quarter,Time,Down,ToGo,Location,STL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 52 yards, returned by Bethel Johnson for 11 yards (tackle by Kay-Jay Harris)",0.000,0.870
1,14:55,1,10,MIN 29,0,0,Tarvaris Jackson pass complete short right to Chester Taylor for 4 yards (tackle by Tye Hill),0.870,0.870
1,14:21,2,6,MIN 33,0,0,Chester Taylor left tackle for 3 yards (tackle by La'Roi Glover),0.870,0.560
1,13:46,3,3,MIN 36,6,0,"Tarvaris Jackson pass incomplete short right intended for Billy McMullen is intercepted by Ronald Bartell at MIN-38 and returned for 38 yards, touchdown",0.560,-7.000
1,,,,MIN 2,7,0,Jeff Wilkins kicks extra point good,0.000,0.000
1,13:38,,,STL 30,7,0,"Jeff Wilkins kicks off 56 yards, returned by Bethel Johnson for 19 yards (tackle by Raonall Smith)",0.000,1.140
1,13:32,1,10,MIN 33,7,0,Tarvaris Jackson middle for 2 yards (tackle by Jimmy Kennedy),1.140,0.860
1,12:57,2,8,MIN 35,7,0,Chester Taylor left tackle for -1 yards (tackle by Dexter Coakley),0.860,0.040
1,12:15,3,9,MIN 34,7,0,Tarvaris Jackson pass incomplete short middle intended for Travis Taylor,0.040,-1.110
1,12:08,4,9,MIN 34,7,0,"Chris Kluwe punts 49 yards, returned by Shaun McDonald for 7 yards (tackle by Heath Farwell)",-1.110,-0.540
1,11:57,1,10,STL 24,7,0,Marc Bulger pass incomplete deep right intended for Isaac Bruce,0.540,0.000
1,11:53,2,10,STL 24,7,0,Steven Jackson for 18 yards (tackle by Ben Leber),0.000,1.730
1,11:25,1,10,STL 42,7,0,Steven Jackson left guard for 2 yards (tackle by Pat Williams),1.730,1.460
1,10:47,2,8,STL 44,7,0,"Marc Bulger pass complete short right to Isaac Bruce for 13 yards (tackle by Ronyell Whitaker). Penalty on Isaac Bruce: Unsportsmanlike Conduct, 15 yards",1.460,1.730
1,10:27,1,10,STL 42,7,0,Dane Looker left end for 13 yards (tackle by Darren Sharper),1.730,2.590
1,10:03,1,10,MIN 45,7,0,Steven Jackson middle for no gain (tackle by Kevin Williams),2.590,2.040
1,9:27,2,10,MIN 45,7,0,"Marc Bulger pass incomplete intended for Joe Klopfenstein. Penalty on Richie Incognito: Offensive Holding, 10 yards (no play)",2.040,0.690
1,9:19,2,20,STL 45,7,0,Marc Bulger pass complete deep middle to Isaac Bruce for 23 yards (tackle by Darren Sharper),0.690,3.450
1,8:38,1,10,MIN 32,7,0,Steven Jackson middle for 6 yards (tackle by Napoleon Harris and Kenechi Udeze),3.450,3.710
1,7:59,2,4,MIN 26,7,0,Steven Jackson for 2 yards,3.710,3.270
1,7:25,3,2,MIN 24,7,0,Steven Jackson right guard for no gain (tackle by Kevin Williams and Kenechi Udeze),3.270,1.990
1,6:48,4,2,MIN 24,10,0,Jeff Wilkins 42 yard field goal good,1.990,3.000
1,6:44,,,STL 30,10,0,"Jeff Wilkins kicks off 61 yards, returned by Bethel Johnson for 27 yards (tackle by Ronald Bartell)",0.000,1.330
1,6:37,1,10,MIN 36,10,0,Chester Taylor left end for 3 yards (tackle by Fakhir Brown and Will Witherspoon),1.330,1.200
1,5:58,2,7,MIN 39,10,0,Tarvaris Jackson pass complete short right to Bethel Johnson for 19 yards (tackle by O.J. Atogwe),1.200,2.790
1,5:35,1,10,STL 42,10,0,Chester Taylor middle for 1 yard (tackle by Jason Fisk and Will Witherspoon),2.790,2.380
1,4:58,2,9,STL 41,10,0,"Tarvaris Jackson pass complete short middle to Martin Nance for 12 yards (tackle by Fakhir Brown). Martin Nance fumbles (forced by Fakhir Brown), recovered by Travis Taylor at STL-21",2.380,4.110
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
1,4:45,1,10,STL 22,10,0,"Penalty on Artis Hicks: False Start, 5 yards (no play)",4.110,3.780
1,4:45,1,15,STL 27,10,0,Tarvaris Jackson for 7 yards,3.780,3.830
1,4:14,2,8,STL 20,10,0,Chester Taylor middle for 1 yard (tackle by Will Witherspoon),3.830,3.260
1,3:31,3,7,STL 19,10,0,Tarvaris Jackson pass complete short middle to Travis Taylor for 14 yards (tackle by O.J. Atogwe),3.260,6.060
1,2:55,1,5,STL 5,10,0,Chester Taylor left end for 4 yards (tackle by Corey Chavous),6.060,5.910
1,2:15,2,1,STL 1,10,0,Tarvaris Jackson pass incomplete short middle intended for Jermaine Wiggins,5.910,5.170
1,2:10,3,1,STL 1,10,6,"Tarvaris Jackson right end for 1 yard, touchdown",5.170,7.000
1,2:10,,,STL 2,10,7,Ryan Longwell kicks extra point good,0.000,0.000
1,2:04,,,MIN 30,10,7,"Ryan Longwell kicks off 68 yards, returned by Willie Ponder for 26 yards (tackle by Rod Davis)",0.000,0.810
1,1:59,1,10,STL 28,10,7,Marc Bulger pass incomplete short left intended for Torry Holt,0.810,0.260
1,1:54,2,10,STL 28,10,7,Marc Bulger pass incomplete short middle intended for Aaron Walker,0.260,-0.430
1,1:50,3,10,STL 28,10,7,Marc Bulger pass incomplete short right intended for Joe Klopfenstein,-0.430,-1.500
1,1:45,4,10,STL 28,10,7,"Matt Turk punts 47 yards, returned by Mewelde Moore for 9 yards (tackle by Chris Massey)",-1.500,-1.200
1,1:34,1,10,MIN 34,10,7,Tarvaris Jackson pass complete short right to Jeff Dugan for 6 yards (tackle by O.J. Atogwe),1.200,1.470
1,0:58,2,4,MIN 40,10,7,Chester Taylor left end for -2 yards (tackle by La'Roi Glover),1.470,0.500
