Unnamed: 0,CHI,STL
First Downs,16,21
Rush-Yds-TDs,22-103-1,20-61-1
Cmp-Att-Yd-TD-INT,20-35-157-0-0,22-37-360-2-1
Sacked-Yards,7-40,4-33
Net Pass Yards,117,327
Total Yards,220,388
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-50,11-97
Third Down Conv.,3-15,6-13
Fourth Down Conv.,1-2,0-0
Time of Possession,30:50,29:10
