Unnamed: 0,NYJ,OAK
First Downs,17,21
Rush-Yds-TDs,25-126-0,27-180-3
Cmp-Att-Yd-TD-INT,16-24-166-2-0,23-28-230-3-0
Sacked-Yards,4-21,0-0
Net Pass Yards,145,230
Total Yards,271,410
Fumbles-Lost,2-2,1-0
Turnovers,2,0
Penalties-Yards,5-47,9-79
Third Down Conv.,7-12,8-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:58,31:02
