#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:05,CLE 14,6,3:35,14,Punt
2,1,6:59,CLE 41,7,3:24,43,Fumble
3,1,2:09,CLE 43,7,2:54,33,Field Goal
4,2,13:17,CLE 44,4,1:18,-1,Punt
5,2,8:39,CLE 20,5,2:58,15,Punt
6,2,4:05,CLE 32,4,1:58,14,Punt
7,2,1:36,CLE 33,9,1:19,67,Touchdown
8,3,15:00,CLE 25,3,1:30,-1,Punt
9,3,11:44,CLE 25,3,2:02,34,Interception
10,3,6:53,CLE 41,9,4:32,43,Field Goal
11,4,14:54,CLE 36,6,3:25,39,Field Goal
12,4,10:27,CIN 18,3,1:16,18,Touchdown
13,4,7:37,CLE 23,3,2:22,2,Punt
14,4,3:41,CLE 19,6,3:17,10,Punt
