Unnamed: 0,CIN,CLE
First Downs,6,21
Rush-Yds-TDs,20-75-0,40-206-1
Cmp-Att-Yd-TD-INT,14-32-82-0-0,16-29-154-1-1
Sacked-Yards,2-15,3-10
Net Pass Yards,67,144
Total Yards,142,350
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,4-20,5-43
Third Down Conv.,2-15,4-14
Fourth Down Conv.,0-1,0-0
Time of Possession,24:10,35:50
