Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 65 yards, returned by Jamal Agnew for 21 yards (tackle by Justin Jackson and Josh Woods)",0.000,0.340
1,14:56,1,10,JAX 21,0,0,Travis Etienne up the middle for 4 yards (tackle by DeShon Elliott and Malcolm Rodriguez),0.340,0.340
1,14:20,2,6,JAX 25,0,0,"Travis Etienne left end for 13 yards. Travis Etienne fumbles (forced by DeShon Elliott), recovered by Alex Anzalone at JAC-38",0.340,-3.050
1,14:08,1,10,JAX 38,0,0,Jared Goff pass complete short left to Kalif Raymond for 7 yards (tackle by Darious Williams),3.050,3.450
1,13:27,2,3,JAX 31,0,0,Jamaal Williams up the middle for 4 yards (tackle by DaVon Hamilton and Devin Lloyd),3.450,3.780
1,12:45,1,10,JAX 27,0,0,Jared Goff pass complete short right to Brock Wright for 11 yards (tackle by Foyesade Oluokun),3.780,4.510
1,12:17,1,10,JAX 16,0,0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Darious Williams),4.510,3.900
1,12:13,2,10,JAX 16,0,0,D'Andre Swift left tackle for 3 yards (tackle by Foyesade Oluokun and Travon Walker),3.900,3.540
1,11:33,3,7,JAX 13,0,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 12 yards (tackle by Andrew Wingard),3.540,6.970
1,10:58,1,1,JAX 1,0,6,"Jamaal Williams right tackle for 1 yard, touchdown",6.970,7.000
1,10:55,,,JAX 15,0,7,Michael Badgley kicks extra point good,0.000,0.000
1,10:55,,,DET 35,0,7,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,10:55,1,10,JAX 25,0,7,"Penalty on Evan Engram: False Start, 5 yards (accepted) (no play)",0.610,0.280
1,10:55,1,15,JAX 20,0,7,Trevor Lawrence pass complete deep left to Christian Kirk for 37 yards (tackle by Kerby Joseph),0.280,2.720
1,10:40,1,10,DET 43,0,7,Travis Etienne up the middle for 7 yards (tackle by Jeff Okudah),2.720,3.120
1,10:21,2,3,DET 36,0,7,Travis Etienne right tackle for 2 yards (tackle by Alim McNeill and Benito Jones),3.120,2.680
1,9:43,3,1,DET 34,0,7,Trevor Lawrence pass incomplete short right intended for Chris Manhertz,2.680,1.100
1,9:39,4,1,DET 34,0,7,Jamal Agnew right end for 3 yards (tackle by Alex Anzalone),1.100,3.510
1,9:05,1,10,DET 31,0,7,Trevor Lawrence pass complete short left to Christian Kirk for 11 yards (tackle by Kerby Joseph),3.510,4.240
1,8:34,1,10,DET 20,0,7,Trevor Lawrence pass complete short right to Evan Engram for 7 yards (tackle by Jerry Jacobs and Will Harris),4.240,4.830
1,7:56,2,3,DET 13,0,7,Trevor Lawrence pass incomplete short right,4.830,4.100
1,7:50,3,3,DET 13,0,7,Trevor Lawrence pass incomplete short middle intended for Zay Jones,4.100,2.670
1,7:46,4,3,DET 13,3,7,Riley Patterson 31 yard field goal good,2.670,3.000
1,7:42,,,JAX 35,3,7,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,7:42,1,10,DET 25,3,7,Jared Goff pass complete short left to Justin Jackson for 5 yards (tackle by Rayshawn Jenkins),0.610,0.740
1,6:57,2,5,DET 30,3,7,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Chad Muma),0.740,1.470
1,6:24,1,10,DET 38,3,7,D'Andre Swift up the middle for 5 yards (tackle by Chad Muma),1.470,1.600
1,6:02,2,5,DET 43,3,7,Jared Goff pass complete short middle to Josh Reynolds for 7 yards (tackle by Foyesade Oluokun),1.600,2.260
1,5:29,1,10,DET 50,3,7,Jared Goff pass complete deep right to DJ Chark for 41 yards (tackle by Tevaughn Campbell),2.260,5.140
1,4:48,1,9,JAX 9,3,7,D'Andre Swift right end for -1 yards (tackle by Chad Muma),5.140,4.190
1,4:09,2,10,JAX 10,3,13,"Jared Goff pass complete short left to Amon-Ra St. Brown for 10 yards, touchdown",4.190,7.000
1,4:04,,,JAX 15,3,14,Michael Badgley kicks extra point good,0.000,0.000
1,4:04,,,DET 35,3,14,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,4:04,1,10,JAX 25,3,14,Trevor Lawrence pass complete to Travis Etienne for 13 yards (tackle by Kerby Joseph),0.610,1.470
1,3:33,1,10,JAX 38,3,14,Travis Etienne right tackle for 4 yards (tackle by John Cominsky),1.470,1.460
1,3:09,2,6,JAX 42,3,14,Trevor Lawrence pass incomplete short middle intended for Zay Jones (defended by Isaiah Buggs),1.460,0.760
1,3:04,3,6,JAX 42,3,14,Trevor Lawrence pass complete short left to Christian Kirk for 7 yards (tackle by Jerry Jacobs),0.760,2.190
1,2:46,1,10,JAX 49,3,14,Trevor Lawrence scrambles right end for 2 yards (tackle by Aidan Hutchinson),2.190,1.920
1,2:10,2,8,DET 49,3,14,Trevor Lawrence pass complete short right to Travis Etienne for 3 yards (tackle by Malcolm Rodriguez),1.920,1.620
1,1:34,3,5,DET 46,3,14,Travis Etienne up the middle for 1 yard (tackle by John Cominsky),1.620,0.270
1,1:02,4,4,DET 45,3,14,Logan Cooke punts 30 yards out of bounds,0.270,0.220
1,0:56,1,10,DET 15,3,14,Jamaal Williams left tackle for 12 yards (tackle by Andrew Wingard and Darious Williams),-0.220,0.740
1,0:21,1,10,DET 27,3,14,Jamaal Williams up the middle for 6 yards (tackle by Chad Muma),0.740,1.010
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,DET 33,3,14,Jared Goff pass complete short right to D'Andre Swift for 24 yards (tackle by Andrew Wingard),1.010,2.720
2,14:21,1,10,JAX 43,3,14,"Jared Goff pass incomplete short middle intended for DJ Chark (defended by Chris Claybrooks) DET challenged the pass completion ruling, and the original play was overturned. Jared Goff pass complete short middle to DJ Chark for 9 yards (tackle by Chris Claybrooks)",2.720,3.390
2,14:03,2,1,JAX 34,3,14,Jared Goff pass complete short left to D'Andre Swift for 4 yards (tackle by Tyson Campbell),3.390,3.580
2,13:30,1,10,JAX 30,3,14,Justin Jackson up the middle for 4 yards (tackle by DaVon Hamilton and Rayshawn Jenkins),3.580,3.570
2,12:52,2,6,JAX 26,3,14,Jared Goff pass incomplete short right intended for Justin Jackson,3.570,2.870
2,12:47,3,6,JAX 26,3,14,Jared Goff pass incomplete short middle intended for D'Andre Swift,2.870,1.760
2,12:44,4,6,JAX 26,3,17,Michael Badgley 45 yard field goal good,1.760,3.000
2,12:39,,,DET 35,3,17,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,12:39,1,10,JAX 25,3,17,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Will Harris),0.610,0.060
2,12:33,2,10,JAX 25,3,17,Travis Etienne right end for 3 yards (tackle by Alim McNeill and DeShon Elliott),0.060,-0.230
2,11:49,3,7,JAX 28,3,17,Trevor Lawrence pass incomplete short middle intended for Zay Jones (defended by John Cominsky),-0.230,-1.500
2,11:43,4,7,JAX 28,3,17,"Logan Cooke punts 53 yards, returned by Kalif Raymond for 11 yards (tackle by Ross Matiscik)",-1.500,-0.940
2,11:32,1,10,DET 30,3,17,Jared Goff pass complete deep right to DJ Chark for 19 yards (tackle by Tyson Campbell),0.940,2.190
2,10:53,1,10,DET 49,3,17,D'Andre Swift up the middle for 5 yards (tackle by Foyesade Oluokun and Travon Walker),2.190,2.320
2,10:16,2,5,JAX 46,3,17,Jared Goff pass complete short left to Josh Reynolds for 4 yards (tackle by Tyson Campbell),2.320,2.150
2,9:35,3,1,JAX 42,3,17,Jared Goff pass complete short middle to Josh Reynolds for 8 yards (tackle by Rayshawn Jenkins),2.150,3.310
2,8:55,1,10,JAX 34,3,17,Amon-Ra St. Brown right tackle for 2 yards (tackle by Foyesade Oluokun and Travon Walker),3.310,3.040
2,8:18,2,8,JAX 32,3,17,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards,3.040,3.010
2,7:43,3,3,JAX 27,3,17,Jared Goff sacked by and Chad Muma for -2 yards and DaVon Hamilton for -2 yards,3.010,1.540
2,7:02,4,5,JAX 29,3,20,Michael Badgley 47 yard field goal good,1.540,3.000
2,6:58,,,DET 35,3,20,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,6:58,1,10,JAX 25,3,20,Travis Etienne left tackle for 9 yards (tackle by Derrick Barnes and Kerby Joseph),0.610,1.280
2,6:35,2,1,JAX 34,3,20,Trevor Lawrence left end for 10 yards (tackle by Kerby Joseph),1.280,1.860
2,6:10,1,10,JAX 44,3,20,Travis Etienne left end for 3 yards (tackle by Josh Paschal),1.860,1.720
2,5:45,2,7,JAX 47,3,20,Trevor Lawrence pass incomplete short middle intended for Zay Jones,1.720,1.030
2,5:40,3,7,JAX 47,3,20,Trevor Lawrence pass complete short left to Christian Kirk for 25 yards (tackle by Kerby Joseph),1.030,3.710
2,5:14,1,10,DET 28,3,20,Trevor Lawrence pass incomplete deep left intended for Zay Jones,3.710,3.170
2,5:09,2,10,DET 28,3,20,Trevor Lawrence pass complete short right to Christian Kirk for 4 yards (tackle by Will Harris),3.170,3.010
2,4:24,3,6,DET 24,3,20,Trevor Lawrence pass incomplete deep left intended for Christian Kirk,3.010,1.890
2,4:19,4,6,DET 24,6,20,Riley Patterson 42 yard field goal good,1.890,3.000
2,4:15,,,JAX 35,6,20,"Riley Patterson kicks off 64 yards, returned by Justin Jackson for 32 yards (tackle by Chris Claybrooks and Montaric Brown)",0.000,1.140
2,4:08,1,10,DET 33,6,20,Jared Goff pass complete short right to DJ Chark for 9 yards (tackle by Tevaughn Campbell and Foyesade Oluokun),1.140,1.810
2,3:35,2,1,DET 42,6,20,Jamaal Williams up the middle for no gain (tackle by Foyesade Oluokun),1.810,1.090
2,3:00,3,1,DET 42,6,20,Jamaal Williams right tackle for 5 yards (tackle by Foyesade Oluokun),1.090,2.060
2,2:24,1,10,DET 47,6,20,Jared Goff pass incomplete short left intended for Josh Reynolds,2.060,1.520
2,2:19,2,10,DET 47,6,20,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by Chad Muma),1.520,2.850
2,2:00,1,10,JAX 41,6,20,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards (tackle by Josh Allen and Foyesade Oluokun),2.850,3.520
2,1:23,2,1,JAX 32,6,20,Jason Cabinda up the middle for 4 yards (tackle by Folorunso Fatukasi and DaVon Hamilton),3.520,3.710
2,0:51,1,10,JAX 28,6,20,Jared Goff pass incomplete short right intended for Justin Jackson,3.710,3.170
2,0:46,,,,,,Timeout #1 by Detroit Lions,,
2,0:46,2,10,JAX 28,6,20,Jared Goff sacked by Chad Muma for -1 yards,3.170,2.340
2,0:40,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:40,3,11,JAX 29,6,20,D'Andre Swift up the middle for 9 yards (tackle by Foyesade Oluokun and Chad Muma),2.340,2.250
2,0:34,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:34,4,2,JAX 20,6,23,Michael Badgley 38 yard field goal good,2.250,3.000
2,0:31,,,DET 35,6,23,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,0:31,1,10,JAX 25,6,23,Trevor Lawrence pass complete deep middle to Marvin Jones for 17 yards (tackle by Will Harris),0.610,1.730
2,0:25,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:25,1,10,JAX 42,6,23,Trevor Lawrence pass incomplete short right intended for Marvin Jones,1.730,1.190
2,0:20,2,10,JAX 42,6,23,Trevor Lawrence sacked by James Houston for -9 yards,1.190,-0.690
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,6,23,"Riley Patterson kicks off 65 yards, returned by Justin Jackson for 39 yards (tackle by Caleb Johnson)",0.000,1.530
3,14:54,1,10,DET 39,6,23,Jared Goff pass complete short middle to Brock Wright for 14 yards (tackle by Devin Lloyd and Chad Muma),1.530,2.460
3,14:17,1,10,JAX 47,6,23,D'Andre Swift up the middle for 2 yards (tackle by Foyesade Oluokun and Roy Robertson-Harris),2.460,2.180
3,13:40,2,8,JAX 45,6,23,"Jared Goff pass incomplete short right intended for Amon-Ra St. Brown. Penalty on Chris Claybrooks: Defensive Pass Interference, 5 yards (accepted) (no play)",2.180,2.920
3,13:36,1,10,JAX 40,6,23,Jared Goff pass complete short right to Justin Jackson for 4 yards (tackle by Foyesade Oluokun),2.920,2.910
3,12:56,2,6,JAX 36,6,23,Jared Goff pass complete short middle to Amon-Ra St. Brown for 13 yards (tackle by Andrew Wingard),2.910,4.040
3,12:33,1,10,JAX 23,6,23,Jamaal Williams up the middle for 1 yard (tackle by Arden Key and Rayshawn Jenkins),4.040,3.630
3,11:52,2,9,JAX 22,6,23,Jared Goff pass incomplete short right,3.630,2.940
3,11:45,3,9,JAX 22,6,23,Jared Goff pass complete short middle to Amon-Ra St. Brown for 12 yards (tackle by Chad Muma),2.940,4.910
3,11:05,1,10,JAX 10,6,23,Jared Goff pass incomplete short right intended for D'Andre Swift (defended by Josh Allen),4.910,4.190
3,11:03,2,10,JAX 10,6,23,D'Andre Swift up the middle for 9 yards (tackle by Andrew Wingard),4.190,5.170
3,10:43,3,1,JAX 1,6,29,"D'Andre Swift right tackle for 1 yard, touchdown",5.170,7.000
3,10:35,,,JAX 15,6,30,Michael Badgley kicks extra point good,0.000,0.000
3,10:35,,,DET 35,6,30,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,10:35,1,10,JAX 25,6,30,Travis Etienne left tackle for 3 yards (tackle by Will Harris),0.610,0.470
3,10:03,2,7,JAX 28,6,30,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,0.470,-0.230
3,9:58,3,7,JAX 28,6,30,Trevor Lawrence pass complete short right to Evan Engram for 7 yards,-0.230,1.270
3,9:27,1,10,JAX 35,6,30,"Penalty on Dan Arnold: False Start, 5 yards (accepted) (no play)",1.270,0.940
3,9:07,1,15,JAX 30,6,30,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Jeff Okudah),0.940,0.860
3,8:25,2,9,JAX 36,6,30,Trevor Lawrence scrambles up the middle for 8 yards (tackle by DeShon Elliott),0.860,1.220
3,7:41,3,1,JAX 44,6,30,Trevor Lawrence pass incomplete short right intended for Evan Engram,1.220,-0.460
3,7:37,4,1,JAX 44,6,30,Trevor Lawrence scrambles left end for 12 yards (tackle by Jerry Jacobs),-0.460,2.650
3,6:59,1,10,DET 44,6,30,Trevor Lawrence pass complete short middle to Christian Kirk for 20 yards (tackle by Kerby Joseph),2.650,3.970
3,6:19,1,10,DET 24,6,30,Travis Etienne left end for -1 yards (tackle by Derrick Barnes),3.970,3.300
3,5:43,2,11,DET 25,6,30,Trevor Lawrence pass incomplete deep right intended for Marvin Jones (defended by Jerry Jacobs),3.300,2.610
3,5:38,3,11,DET 25,6,30,Trevor Lawrence pass complete short right to Zay Jones for 10 yards (tackle by Kerby Joseph),2.610,2.590
3,4:54,4,1,DET 15,6,30,Travis Etienne up the middle for 2 yards (tackle by Benito Jones and Alim McNeill),2.590,4.710
3,4:19,1,10,DET 13,6,30,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Will Harris),4.710,5.150
3,3:40,2,4,DET 7,6,30,Travis Etienne left tackle for 4 yards (tackle by Alex Anzalone and DeShon Elliott),5.150,6.510
3,3:01,1,3,DET 3,6,30,Trevor Lawrence pass incomplete short right intended for Christian Kirk,6.510,5.530
3,2:58,2,3,DET 3,12,30,"Trevor Lawrence pass complete short left to Evan Engram for 3 yards, touchdown",5.530,7.000
3,2:54,,,DET 2,14,30,Two Point Attempt: Trevor Lawrence pass complete to to Jamal Agnew for no gain,1.000,1.000
3,2:54,,,JAX 35,14,30,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
3,2:54,1,10,DET 25,14,30,Jared Goff pass complete short middle to Kalif Raymond for 5 yards (tackle by Foyesade Oluokun),0.610,0.740
3,2:18,2,5,DET 30,14,30,Jamaal Williams up the middle for 3 yards (tackle by Dawuane Smoot),0.740,0.430
3,1:31,3,2,DET 33,14,30,Jared Goff pass complete short right to D'Andre Swift for 7 yards (tackle by Josh Allen),0.430,1.600
3,1:06,1,10,DET 40,14,30,"D'Andre Swift up the middle for 3 yards (tackle by Dawuane Smoot and Chad Muma). Penalty on Roy Robertson-Harris: Defensive Holding, 5 yards (accepted)",1.600,2.130
3,0:46,1,10,DET 48,14,30,Jared Goff pass incomplete deep right intended for Jameson Williams (defended by Darious Williams),2.130,1.580
3,0:41,2,10,DET 48,14,30,Jared Goff pass complete short left to D'Andre Swift for 14 yards (tackle by Tyson Campbell and Andrew Wingard),1.580,3.050
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 38,14,30,Kalif Raymond right end for -6 yards (tackle by Travon Walker),3.050,1.700
4,14:26,2,16,JAX 44,14,30,Jared Goff pass complete deep right to DJ Chark for 20 yards,1.700,3.970
4,13:53,,,,,,Timeout #1 by Detroit Lions,,
4,13:53,1,10,JAX 24,14,30,D'Andre Swift right tackle for 4 yards (tackle by Andrew Wingard),3.970,3.970
4,13:12,2,6,JAX 20,14,30,"Jared Goff pass incomplete short left intended for D'Andre Swift. Penalty on Jonah Jackson: Offensive Holding, 10 yards (accepted) (no play)",3.970,2.620
4,13:06,2,16,JAX 30,14,30,Jared Goff pass complete short left to Shane Zylstra for 4 yards (tackle by Rayshawn Jenkins),2.620,2.480
4,12:31,3,12,JAX 26,14,30,Jared Goff pass incomplete short right,2.480,1.740
4,12:25,4,12,JAX 26,14,33,Michael Badgley 44 yard field goal good,1.740,3.000
4,12:21,,,DET 35,14,33,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
4,12:21,1,10,JAX 25,14,33,Trevor Lawrence sacked by and Aidan Hutchinson for -5 yards and Benito Jones for -5 yards,0.610,-0.610
4,11:39,2,15,JAX 20,14,33,Trevor Lawrence pass complete short left to Evan Engram for 7 yards (tackle by Chris Board),-0.610,-0.360
4,11:00,3,8,JAX 27,14,33,Trevor Lawrence pass complete short right to Travis Etienne for -4 yards (tackle by Alex Anzalone),-0.360,-1.830
4,10:27,4,12,JAX 23,14,33,"Logan Cooke punts 54 yards, returned by Kalif Raymond for 9 yards (tackle by Chris Claybrooks and Ross Matiscik)",-1.830,-1.070
4,10:16,1,10,DET 32,14,33,D'Andre Swift up the middle for 1 yard (tackle by Arden Key and Devin Lloyd),1.070,0.660
4,9:33,2,9,DET 33,14,33,D'Andre Swift right tackle for 2 yards (tackle by Folorunso Fatukasi and Foyesade Oluokun),0.660,0.230
4,8:51,3,7,DET 35,14,33,Jared Goff pass complete short left to Amon-Ra St. Brown for 15 yards (tackle by Devin Lloyd and Andrew Wingard),0.230,2.260
4,8:04,1,10,DET 50,14,33,Jamaal Williams left tackle for 1 yard (tackle by DaVon Hamilton and Foyesade Oluokun),2.260,1.850
4,7:22,2,9,JAX 49,14,33,Jared Goff pass complete short left to Justin Jackson for 10 yards (tackle by Devin Lloyd),1.850,2.980
4,6:37,1,10,JAX 39,14,33,Jared Goff pass incomplete deep left intended for DJ Chark (defended by Tyson Campbell),2.980,2.440
4,6:32,2,10,JAX 39,14,33,Jamaal Williams up the middle for 1 yard (tackle by Devin Lloyd and Dawuane Smoot),2.440,1.880
4,5:46,3,9,JAX 38,14,33,Jared Goff pass complete short middle to Amon-Ra St. Brown for 14 yards (tackle by Darious Williams),1.880,3.970
4,5:01,1,10,JAX 24,14,33,D'Andre Swift up the middle for 10 yards (tackle by Andrew Wingard),3.970,4.650
4,4:16,1,10,JAX 14,14,33,D'Andre Swift right end for 9 yards (tackle by Travon Walker),4.650,5.670
4,3:30,2,1,JAX 5,14,33,Jamaal Williams up the middle for 1 yard (tackle by Arden Key),5.670,6.280
4,2:47,1,4,JAX 4,14,39,"Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards, touchdown",6.280,7.000
4,2:43,,,JAX 15,14,40,Michael Badgley kicks extra point good,0.000,0.000
4,2:43,,,DET 35,14,40,"Jack Fox kicks off 67 yards, returned by Jamal Agnew for 25 yards (tackle by Will Harris)",0.000,0.480
4,2:37,1,10,JAX 23,14,40,Snoop Conner up the middle for 6 yards (tackle by Alex Anzalone and Malcolm Rodriguez),0.480,0.740
4,2:00,2,4,JAX 29,14,40,C.J. Beathard pass complete short right to Tim Jones for 3 yards (tackle by DeShon Elliott),0.740,0.430
4,1:12,3,1,JAX 32,14,40,"Penalty on JAX: Delay of Game, 4 yards (accepted) (no play)",0.430,-0.100
4,1:02,3,5,JAX 28,14,40,C.J. Beathard pass incomplete short left intended for Jamal Agnew,-0.100,-1.500
4,0:54,4,5,JAX 28,14,40,C.J. Beathard pass complete short left to Luke Farrell for 3 yards (tackle by Alex Anzalone and Chase Lucas),-1.500,-3.510
4,0:53,1,10,JAX 31,14,40,Nate Sudfeld kneels for no gain,3.510,2.970
4,0:23,2,10,JAX 31,14,40,Nate Sudfeld kneels for -1 yards,2.970,2.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
