Unnamed: 0,JAX,DET
First Downs,14,31
Rush-Yds-TDs,19-95-0,31-100-2
Cmp-Att-Yd-TD-INT,19-34-185-1-0,31-41-340-2-0
Sacked-Yards,2-14,2-3
Net Pass Yards,171,337
Total Yards,266,437
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,5-24,1-10
Third Down Conv.,3-12,8-12
Fourth Down Conv.,3-4,0-0
Time of Possession,23:10,36:50
