Unnamed: 0,CHI,PIT
First Downs,15,21
Rush-Yds-TDs,28-107-2,21-80-0
Cmp-Att-Yd-TD-INT,20-30-159-1-0,26-41-406-2-2
Sacked-Yards,2-8,3-27
Net Pass Yards,151,379
Total Yards,258,459
Fumbles-Lost,1-0,4-3
Turnovers,0,5
Penalties-Yards,3-25,6-59
Third Down Conv.,5-15,3-11
Fourth Down Conv.,1-1,0-1
Time of Possession,31:36,28:24
