Quarter,Time,Tm,Detail,SFO,TAM
1.0,11:08,49ers,Robbie Gould 29 yard field goal,3,0
2.0,8:41,Buccaneers,Vernon Hargreaves III 15 yard interception return (Matt Gay kick),3,7
,2:55,49ers,Robbie Gould 36 yard field goal,6,7
3.0,12:31,49ers,Richie James 39 yard pass from Jimmy Garoppolo (Robbie Gould kick),13,7
,11:44,49ers,Richard Sherman 31 yard interception return (Robbie Gould kick),20,7
,5:43,Buccaneers,Chris Godwin 10 yard pass from Jameis Winston (Matt Gay kick),20,14
4.0,4:47,Buccaneers,Matt Gay 31 yard field goal,20,17
,2:17,49ers,Robbie Gould 47 yard field goal,23,17
,2:01,49ers,Ahkello Witherspoon 25 yard interception return (Deebo Samuel pass from Jimmy Garoppolo),31,17
