Unnamed: 0,SFO,TAM
First Downs,17,21
Rush-Yds-TDs,32-98-0,26-121-0
Cmp-Att-Yd-TD-INT,18-27-166-1-1,20-36-194-1-3
Sacked-Yards,1-8,3-20
Net Pass Yards,158,174
Total Yards,256,295
Fumbles-Lost,1-1,3-1
Turnovers,2,4
Penalties-Yards,11-87,8-87
Third Down Conv.,5-13,5-11
Fourth Down Conv.,0-0,0-2
Time of Possession,30:04,29:56
