Unnamed: 0,CLE,JAX
First Downs,13,20
Rush-Yds-TDs,30-69-0,35-185-2
Cmp-Att-Yd-TD-INT,16-41-215-0-1,17-31-159-1-3
Sacked-Yards,3-18,2-8
Net Pass Yards,197,151
Total Yards,266,336
Fumbles-Lost,2-2,0-0
Turnovers,3,3
Penalties-Yards,8-50,3-25
Third Down Conv.,4-17,5-16
Fourth Down Conv.,0-3,0-0
Time of Possession,28:27,31:33
