Quarter,Time,Tm,Detail,CLE,JAX
1.0,6:30,Browns,Billy Cundiff 40 yard field goal,3,0
2.0,4:16,Browns,Billy Cundiff 22 yard field goal,6,0
,0:27,Jaguars,Allen Robinson 31 yard pass from Blake Bortles (Josh Scobee kick),6,7
3.0,10:00,Jaguars,Josh Scobee 30 yard field goal,6,10
4.0,5:58,Jaguars,Denard Robinson 8 yard rush (Josh Scobee kick),6,17
,4:35,Jaguars,Storm Johnson 3 yard rush (Josh Scobee kick),6,24
