Unnamed: 0,BUF,MIA
First Downs,15,17
Rush-Yds-TDs,27-132-0,34-132-0
Cmp-Att-Yd-TD-INT,15-31-182-1-0,13-33-165-1-4
Sacked-Yards,5-20,1-10
Net Pass Yards,162,155
Total Yards,294,287
Fumbles-Lost,0-0,2-2
Turnovers,0,6
Penalties-Yards,4-40,6-56
Third Down Conv.,3-13,6-15
Fourth Down Conv.,0-1,1-2
Time of Possession,28:46,31:14
