#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:26,MIA 43,9,3:56,57,Touchdown
2,1,7:08,BUF 31,1,0:06,-7,Fumble
3,1,1:39,MIA 36,6,3:12,43,Interception
4,2,12:40,MIA 30,13,7:43,46,Field Goal
5,2,3:18,MIA 20,3,0:55,1,Interception
6,2,2:23,MIA 34,6,1:21,18,Punt
7,3,15:00,BUF 46,4,2:20,18,Interception
8,3,9:41,MIA 20,4,1:53,3,Punt
9,3,4:16,MIA 47,8,3:40,20,Downs
10,4,13:35,MIA 16,5,2:09,20,Punt
11,4,9:33,MIA 18,6,2:45,47,Fumble
12,4,6:17,MIA 28,3,0:58,-10,Punt
13,4,1:12,MIA 33,1,0:16,0,Interception
