Unnamed: 0,CAR,TAM
First Downs,18,18
Rush-Yds-TDs,32-128-1,25-112-0
Cmp-Att-Yd-TD-INT,18-32-237-1-3,20-35-202-1-1
Sacked-Yards,3-30,3-14
Net Pass Yards,207,188
Total Yards,335,300
Fumbles-Lost,0-0,1-1
Turnovers,3,2
Penalties-Yards,4-45,5-30
Third Down Conv.,4-15,4-12
Fourth Down Conv.,2-2,0-0
Time of Possession,32:24,27:36
