Unnamed: 0,IND,KAN
First Downs,27,24
Rush-Yds-TDs,32-142-2,30-196-2
Cmp-Att-Yd-TD-INT,22-30-304-3-0,18-30-212-1-0
Sacked-Yards,1-12,0-0
Net Pass Yards,292,212
Total Yards,434,408
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,1-5,4-30
Third Down Conv.,8-11,5-11
Fourth Down Conv.,0-1,3-3
Time of Possession,32:13,27:47
