Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
2,9:16,1,7,IND 7,14,3,Priest Holmes up the middle for -2 yards (tackle by Montae Reagor),5.600,4.380
2,8:40,2,9,IND 9,14,9,"Trent Green pass complete to Dante Hall for 9 yards, touchdown",4.380,7.000
2,,,,IND 2,14,10,Morten Andersen kicks extra point good,0.000,0.000
2,,,,KAN 30,14,10,"Jason Baker kicks off 53 yards, returned by Dominic Rhodes for 12 yards (tackle by Gary Stills)",0.000,0.870
2,8:30,1,10,IND 29,14,10,Peyton Manning pass incomplete intended for Marvin Harrison,0.870,0.330
2,8:23,2,10,IND 29,14,10,Edgerrin James left end for 18 yards (tackle by Jerome Woods),0.330,2.060
2,7:52,1,10,IND 47,14,10,Peyton Manning pass complete to Reggie Wayne for 17 yards (tackle by Jerome Woods),2.060,3.180
2,7:22,1,10,KAN 36,14,10,Edgerrin James left end for 6 yards (tackle by Shawn Barber and Eric Hicks),3.180,3.450
2,6:44,2,4,KAN 30,14,10,Peyton Manning pass incomplete intended for Marvin Harrison,3.450,2.740
2,6:40,,,,14,10,Timeout #1 by Kansas City Chiefs,0.000,2.740
2,6:40,3,4,KAN 30,14,10,Peyton Manning pass complete to Brandon Stokley for 4 yards (tackle by William Bartee),2.740,3.840
2,6:00,1,10,KAN 26,14,10,Peyton Manning pass complete to Marcus Pollard for 21 yards (tackle by Greg Wesley),3.840,6.060
2,5:15,1,5,KAN 5,14,10,Edgerrin James left tackle for 3 yards (tackle by Scott Fujita),6.060,5.720
2,4:34,2,2,KAN 2,20,10,"Peyton Manning pass complete to Tom Lopienski for 2 yards, touchdown",5.720,7.000
2,,,,KAN 2,21,10,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,21,10,"Mike Vanderjagt kicks off 60 yards, returned by Dante Hall for 21 yards (tackle by Cory Bird)",0.000,1.000
2,4:22,1,10,KAN 31,21,10,Trent Green pass complete to Tony Gonzalez for 22 yards (tackle by David Macklin),1.000,2.460
2,3:44,1,10,IND 47,21,10,Trent Green pass incomplete intended for Johnnie Morton (defended by Walt Harris),2.460,1.910
2,3:36,2,10,IND 47,21,10,Priest Holmes up the middle for 12 yards (tackle by Nick Harper and Idrees Bashir),1.910,3.250
2,3:00,1,10,IND 35,21,10,Trent Green pass complete to Tony Gonzalez for 8 yards (tackle by Rob Morris),3.250,3.780
2,2:24,2,2,IND 27,21,10,"Trent Green pass complete to Tony Gonzalez for 27 yards. Penalty on Tony Gonzalez: Offensive Pass Interference, 10 yards (no play)",3.780,2.430
2,2:16,2,12,IND 37,21,10,Trent Green pass complete to Tony Gonzalez for 9 yards (tackle by Walt Harris),2.430,2.940
2,2:00,3,3,IND 28,21,10,Trent Green pass incomplete intended for Johnnie Morton,2.940,1.680
2,1:57,4,3,IND 28,21,10,Trent Green pass complete to Dante Hall for 10 yards (tackle by Chad Bratzke),1.680,4.370
2,1:25,,,,21,10,Timeout #1 by Indianapolis Colts,0.000,4.370
2,1:25,1,10,IND 18,21,10,Trent Green pass incomplete intended for Dante Hall,4.370,3.800
2,1:20,2,10,IND 18,21,10,Priest Holmes left end for 5 yards (tackle by Donald Strickland and David Macklin),3.800,3.820
2,1:12,,,,21,10,Timeout #2 by Kansas City Chiefs,0.000,3.820
2,1:12,3,5,IND 13,21,10,Trent Green pass incomplete intended for Johnnie Morton,3.820,2.620
2,1:09,4,5,IND 13,21,10,Morten Andersen 31 yard field goal no good,2.620,-0.340
2,1:05,1,10,IND 21,21,10,--,0.340,-1.660
2,0:23,2,22,IND 9,21,10,Edgerrin James up the middle for -1 yards (tackle by Gary Stills),-1.660,-2.940
2,0:16,,,,21,10,Timeout #3 by Kansas City Chiefs,0.000,-2.940
2,0:16,3,23,IND 8,21,10,Peyton Manning kneels for -1 yards,-2.940,-2.490
Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,21,10,"Mike Vanderjagt kicks off 65 yards, returned by Dante Hall for 25 yards (tackle by Robert Mathis)",0.000,0.940
3,14:53,1,10,KAN 30,21,10,Trent Green pass incomplete intended for Eddie Kennison (defended by Nick Harper),0.940,0.390
3,14:47,2,10,KAN 30,21,10,"Priest Holmes up the middle for 48 yards (tackle by David Macklin). Priest Holmes fumbles (forced by David Macklin), recovered by David Macklin at IND-22",0.390,-0.410
3,14:32,1,10,IND 22,21,10,Peyton Manning pass incomplete intended for Marcus Pollard,0.410,-0.130
3,14:27,2,10,IND 22,21,10,Edgerrin James up the middle for 14 yards (tackle by Shawn Barber),-0.130,1.330
3,13:54,1,10,IND 36,21,10,Edgerrin James up the middle for 1 yard (tackle by John Browning),1.330,0.930
3,13:13,2,9,IND 37,21,10,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Eric Warfield),0.930,0.230
3,13:08,3,9,IND 37,21,10,Peyton Manning pass complete to Brandon Stokley for 11 yards (tackle by William Bartee),0.230,2.130
3,12:23,1,10,IND 48,21,10,Edgerrin James right end for 8 yards (tackle by Greg Wesley),2.130,2.660
3,11:37,2,2,KAN 44,21,10,Dominic Rhodes left tackle for 13 yards (tackle by William Bartee),2.660,3.510
3,10:59,1,10,KAN 31,21,10,Peyton Manning pass complete to Reggie Wayne for 9 yards (tackle by Montique Sharpe),3.510,4.180
3,10:13,2,1,KAN 22,21,10,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Eric Warfield),4.180,3.470
3,10:08,3,1,KAN 22,21,10,Edgerrin James up the middle for -5 yards (tackle by Shawn Barber),3.470,1.700
3,10:08,4,6,KAN 27,24,10,Mike Vanderjagt 45 yard field goal good,1.700,3.000
3,,,,IND 30,24,10,"Mike Vanderjagt kicks off 52 yards, returned by Dante Hall for 27 yards (tackle by Donald Strickland)",0.000,1.930
3,9:17,1,10,KAN 45,24,10,Trent Green pass incomplete intended for Johnnie Morton,1.930,1.380
3,9:10,2,10,KAN 45,24,10,Priest Holmes up the middle for 24 yards (tackle by David Thornton),1.380,3.510
3,8:35,1,10,IND 31,24,10,Priest Holmes up the middle for 7 yards (tackle by Larry Tripplett),3.510,3.910
3,7:58,2,3,IND 24,24,10,Priest Holmes right end for 9 yards (tackle by Marcus Washington and Raheem Brock),3.910,4.580
3,7:17,1,10,IND 15,24,10,Trent Green pass complete to Derrick Blaylock for 11 yards (tackle by Marcus Washington),4.580,6.280
3,6:41,1,4,IND 4,24,10,Priest Holmes up the middle for 2 yards (tackle by Donald Strickland and Chad Bratzke),6.280,5.720
3,6:01,2,2,IND 2,24,10,Priest Holmes up the middle for 1 yard (tackle by Cory Bird),5.720,5.170
3,5:29,3,1,IND 1,24,16,"Priest Holmes up the middle for 1 yard, touchdown",5.170,7.000
3,,,,IND 2,24,17,Morten Andersen kicks extra point good,0.000,0.000
3,,,,KAN 30,24,17,"Jason Baker kicks off 57 yards, returned by Dominic Rhodes for 23 yards (tackle by Jimmy Wilkerson)",0.000,1.330
3,5:19,1,10,IND 36,24,17,Peyton Manning pass complete to Marcus Pollard for 13 yards (tackle by Jerome Woods),1.330,2.190
3,4:46,1,10,IND 49,24,17,Edgerrin James up the middle for 3 yards (tackle by Greg Wesley),2.190,2.050
3,4:09,2,7,KAN 48,24,17,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Dexter McCleon),2.050,2.850
3,3:37,1,10,KAN 41,24,17,Peyton Manning pass complete to Reggie Wayne for 14 yards (tackle by Dexter McCleon),2.850,3.780
3,3:03,1,10,KAN 27,24,17,Edgerrin James up the middle for 4 yards (tackle by Kawika Mitchell and Gary Stills),3.780,3.770
3,2:34,2,6,KAN 23,24,17,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Scott Fujita),3.770,3.640
3,1:53,3,2,KAN 19,30,17,"Peyton Manning pass complete to Reggie Wayne for 19 yards, touchdown",3.640,7.000
3,,,,KAN 2,31,17,Mike Vanderjagt kicks extra point good,0.000,0.000
3,,,,IND 30,31,23,"Mike Vanderjagt kicks off 62 yards, returned by Dante Hall for 92 yards, touchdown",0.000,7.000
3,,,,IND 2,31,24,Morten Andersen kicks extra point good,0.000,0.000
3,,,,KAN 30,31,24,"Jason Baker kicks off 71 yards, returned by Dominic Rhodes for 20 yards (tackle by Clint Finley)",0.000,0.150
3,1:29,1,10,IND 19,31,24,Edgerrin James right end for 2 yards (tackle by Shawn Barber),0.150,-0.060
3,0:52,2,8,IND 21,31,24,Peyton Manning pass incomplete intended for Brandon Stokley,-0.060,-0.810
3,0:47,3,8,IND 21,31,24,"Edgerrin James left end for no gain (tackle by Eric Hicks). Penalty on KAN: Defensive 12 On-field, 5 yards (no play)",-0.810,-0.160
3,0:14,3,3,IND 26,31,24,Peyton Manning pass complete to Reggie Wayne for 17 yards (tackle by Eric Hicks),-0.160,1.800
Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 43,31,24,Peyton Manning pass complete to Marvin Harrison for 27 yards (tackle by Greg Wesley),1.800,3.580
4,14:28,1,10,KAN 30,31,24,Edgerrin James up the middle for no gain (tackle by Shawn Barber),3.580,3.030
4,13:57,2,10,KAN 30,31,24,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Kawika Mitchell),3.030,2.870
4,13:18,3,6,KAN 26,31,24,Peyton Manning pass complete to Brandon Stokley for 13 yards (tackle by William Bartee),2.870,4.710
4,12:34,1,10,KAN 13,31,24,Peyton Manning pass complete to Joe D. Davenport for 7 yards (tackle by Eric Warfield),4.710,5.340
4,11:55,2,3,KAN 6,31,24,Edgerrin James up the middle for 5 yards (tackle by Dexter McCleon),5.340,6.970
4,11:18,1,1,KAN 1,37,24,"Edgerrin James up the middle for 1 yard, touchdown",6.970,7.000
4,,,,KAN 2,38,24,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,IND 30,38,24,"Mike Vanderjagt kicks off 64 yards, returned by Dante Hall for 18 yards (tackle by Keyon Whiteside)",0.000,0.540
4,11:07,1,10,KAN 24,38,24,Trent Green pass incomplete intended for Eddie Kennison (defended by Walt Harris),0.540,0.000
4,11:02,2,10,KAN 24,38,24,Priest Holmes up the middle for 4 yards (tackle by Marcus Washington),0.000,-0.160
4,10:25,3,6,KAN 28,38,24,"Trent Green up the middle for 4 yards (tackle by Montae Reagor). Penalty on Nick Harper: Defensive Holding, 5 yards",-0.160,1.400
4,9:56,1,10,KAN 37,38,24,Priest Holmes left end for 2 yards (tackle by Marcus Washington),1.400,1.130
4,9:24,2,8,KAN 39,38,24,Trent Green pass complete to Priest Holmes for 7 yards (tackle by David Thornton),1.130,1.360
4,9:24,3,1,KAN 46,38,24,"Penalty on Casey Wiegmann: False Start, 5 yards (no play)",1.360,0.700
4,8:30,3,6,KAN 41,38,24,Trent Green pass incomplete intended for Johnnie Morton,0.700,-0.650
4,8:26,,,,38,24,Timeout #1 by Kansas City Chiefs,0.000,-0.650
4,8:26,4,6,KAN 41,38,24,Trent Green pass complete to Eddie Kennison for 19 yards (tackle by David Macklin),-0.650,2.920
4,7:59,1,10,IND 40,38,24,Trent Green pass incomplete intended for Dante Hall,2.920,2.370
4,7:55,2,10,IND 40,38,24,Trent Green up the middle for 5 yards (tackle by Gary Brackett),2.370,2.340
4,7:12,3,5,IND 35,38,24,Trent Green pass complete to Tony Richardson for 10 yards (tackle by Mike Doss),2.340,3.910
4,6:47,1,10,IND 25,38,24,Trent Green pass complete to Priest Holmes for 3 yards (tackle by David Thornton),3.910,3.770
4,6:23,2,7,IND 22,38,24,Trent Green pass complete to Priest Holmes for 10 yards (tackle by Nick Harper),3.770,4.780
4,6:00,1,10,IND 12,38,24,Priest Holmes up the middle for 6 yards (tackle by Robert Mathis),4.780,5.210
4,5:38,2,4,IND 6,38,24,Derrick Blaylock up the middle for -1 yards (tackle by Brad Scioli),5.210,4.160
4,5:05,,,,38,24,Timeout #1 by Indianapolis Colts,0.000,4.160
4,5:05,3,5,IND 7,38,24,Trent Green pass incomplete intended for Johnnie Morton,4.160,2.980
4,5:00,4,5,IND 7,38,24,Trent Green pass complete to Eddie Kennison for 6 yards (tackle by David Thornton),2.980,6.970
4,4:25,1,1,IND 1,38,30,"Priest Holmes up the middle for 1 yard, touchdown",6.970,7.000
4,,,,IND 2,38,31,Morten Andersen kicks extra point good,0.000,0.000
4,,,,KAN 30,38,31,"Jason Baker kicks off 59 yards, returned by Dominic Rhodes for 22 yards (tackle by Fred Jones)",0.000,1.140
4,4:16,1,10,IND 33,38,31,Edgerrin James right end for 5 yards (tackle by John Browning),1.140,1.270
4,3:31,2,5,IND 38,38,31,Peyton Manning pass complete to Edgerrin James for 16 yards (tackle by Scott Fujita),1.270,2.520
4,2:44,1,10,KAN 46,38,31,Edgerrin James up the middle for 8 yards (tackle by Greg Wesley),2.520,3.060
4,2:00,2,2,KAN 38,38,31,Edgerrin James up the middle for 3 yards (tackle by Shawn Barber),3.060,3.250
4,1:48,,,,38,31,Timeout #2 by Kansas City Chiefs,0.000,3.250
4,1:48,1,10,KAN 35,38,31,Edgerrin James up the middle for 1 yard (tackle by Shawn Barber),3.250,2.840
4,1:41,,,,38,31,Timeout #3 by Kansas City Chiefs,0.000,2.840
4,1:41,2,9,KAN 34,38,31,Dominic Rhodes up the middle for 1 yard (tackle by Kawika Mitchell),2.840,2.280
4,0:58,3,8,KAN 33,38,31,Dominic Rhodes left end for 5 yards (tackle by Shawn Barber),2.280,1.680
4,0:13,,,,38,31,Timeout #3 by Indianapolis Colts,0.000,1.680
4,0:13,4,3,KAN 28,38,31,Dominic Rhodes right end for 1 yard (tackle by Eric Hicks),1.680,-0.740
4,0:08,1,10,KAN 27,38,31,Trent Green pass complete to Priest Holmes for 13 yards (tackle by Gary Brackett),0.740,1.600
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
