Quarter,Time,Tm,Detail,IND,KAN
1.0,9:20,Colts,Brandon Stokley 29 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,3:38,Chiefs,Morten Andersen 22 yard field goal,7,3
,0:37,Colts,Edgerrin James 11 yard rush (Mike Vanderjagt kick),14,3
2.0,8:35,Chiefs,Dante Hall 9 yard pass from Trent Green (Morten Andersen kick),14,10
,4:29,Colts,Tom Lopienski 2 yard pass from Peyton Manning (Mike Vanderjagt kick),21,10
3.0,9:24,Colts,Mike Vanderjagt 45 yard field goal,24,10
,5:26,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),24,17
,1:48,Colts,Reggie Wayne 19 yard pass from Peyton Manning (Mike Vanderjagt kick),31,17
,1:35,Chiefs,Dante Hall 92 yard kickoff return (Morten Andersen kick),31,24
4.0,11:14,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),38,24
,4:22,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),38,31
