Unnamed: 0,CHI,JAX
First Downs,28,14
Rush-Yds-TDs,33-128-3,16-76-0
Cmp-Att-Yd-TD-INT,24-36-265-2-1,24-37-211-2-2
Sacked-Yards,1-2,1-8
Net Pass Yards,263,203
Total Yards,391,279
Fumbles-Lost,3-0,0-0
Turnovers,1,2
Penalties-Yards,4-40,10-115
Third Down Conv.,6-12,5-12
Fourth Down Conv.,2-2,0-0
Time of Possession,33:00,27:00
