Quarter,Time,Tm,Detail,CHI,JAX
1.0,8:14,Jaguars,Aldrick Rosas 26 yard field goal,0,3
,3:18,Bears,Jimmy Graham 5 yard pass from Mitchell Trubisky (Cairo Santos kick),7,3
2.0,13:17,Bears,Cairo Santos 20 yard field goal,10,3
,8:21,Jaguars,DJ Chark 20 yard pass from Mike Glennon (Aldrick Rosas kick),10,10
,0:00,Bears,Cairo Santos 40 yard field goal,13,10
3.0,9:14,Bears,Mitchell Trubisky 6 yard rush (Cairo Santos kick),20,10
,3:17,Bears,David Montgomery 6 yard rush (Cairo Santos kick),27,10
,2:30,Bears,Jimmy Graham 22 yard pass from Mitchell Trubisky (Cairo Santos kick),34,10
4.0,11:47,Bears,Artavis Pierce 3 yard rush (Cairo Santos kick),41,10
,4:29,Jaguars,Laviska Shenault Jr. 34 yard pass from Mike Glennon (Aldrick Rosas kick),41,17
