Quarter,Time,Down,ToGo,Location,KAN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 64 yards, returned by Javier Arenas for 17 yards (tackle by Patrick Trahan)",0.000,0.040
1,14:52,1,10,KAN 18,0,0,Thomas Jones left end for 2 yards (tackle by Lance Briggs),0.040,-0.130
1,14:25,2,8,KAN 20,0,0,Thomas Jones right guard for 6 yards (tackle by Major Wright),-0.130,-0.140
1,13:52,3,2,KAN 26,0,0,Tyler Palko pass complete short left to Dwayne Bowe for 14 yards (tackle by Charles Tillman),-0.140,1.600
1,13:27,1,10,KAN 40,0,0,Jackie Battle right end for 3 yards (tackle by Tim Jennings),1.600,1.460
1,12:49,2,7,KAN 43,0,0,Thomas Jones right guard for -3 yards (tackle by Stephen Paea and Israel Idonije),1.460,0.370
1,12:10,3,10,KAN 40,0,0,Tyler Palko pass complete short left to Steve Breaston for no gain,0.370,-0.720
1,11:38,4,10,KAN 40,0,0,Dustin Colquitt punts 42 yards,-0.720,-0.040
1,11:28,1,10,CHI 18,0,0,Matt Forte left guard for 5 yards (tackle by Jovan Belcher),0.040,0.280
1,11:00,2,5,CHI 23,0,0,Matt Forte left end for no gain (tackle by Jovan Belcher),0.280,-0.530
1,10:21,3,5,CHI 23,0,0,Caleb Hanie pass incomplete short right intended for Johnny Knox. Penalty on J'Marcus Webb: Offensive Holding (Declined),-0.530,-1.830
1,10:16,4,5,CHI 23,0,0,"Adam Podlesh punts 32 yards, muffed catch by Jalil Brown, recovered by Zackary Bowman and returned for no gain",-1.830,2.720
1,10:08,1,10,KAN 43,0,0,Matt Forte left guard for 4 yards (tackle by Kelly Gregg),2.720,2.720
1,9:32,2,6,KAN 39,0,0,Caleb Hanie pass complete short right to Johnny Knox for 2 yards (tackle by Travis Daniels),2.720,2.280
1,8:49,3,4,KAN 37,0,0,Caleb Hanie pass complete short left to Johnny Knox for 2 yards (tackle by Brandon Flowers),2.280,0.990
1,8:01,4,2,KAN 35,0,0,Caleb Hanie pass incomplete short left intended for Earl Bennett,0.990,-1.270
1,7:57,1,10,KAN 35,0,0,Tyler Palko pass complete short right to Le'Ron McClain for 3 yards (tackle by Charles Tillman),1.270,1.130
1,7:39,2,7,KAN 38,0,0,Jackie Battle right tackle for 4 yards (tackle by Major Wright),1.130,0.960
1,7:00,3,3,KAN 42,0,0,Tyler Palko pass incomplete deep left intended for Dwayne Bowe (defended by Charles Tillman),0.960,-0.590
1,6:54,4,3,KAN 42,0,0,Dustin Colquitt punts 53 yards,-0.590,0.380
1,6:42,1,10,CHI 5,0,0,Matt Forte left end for 3 yards (tackle by Glenn Dorsey),-0.380,-0.560
1,6:11,2,7,CHI 8,0,0,Matt Forte left end for no gain (tackle by Derrick O. Johnson),-0.560,-1.070
1,5:45,3,7,CHI 8,0,0,Caleb Hanie pass incomplete short right intended for Johnny Knox. Penalty on Lance Louis: Offensive Holding (Declined),-1.070,-2.490
1,5:37,4,7,CHI 8,0,0,"Adam Podlesh punts 54 yards, returned by Sabby Piscitelli for 25 yards (tackle by Adam Podlesh). Penalty on Brandon Carr: Illegal Block Above the Waist, 10 yards",-2.490,-0.810
1,5:24,1,10,KAN 28,0,0,Thomas Jones left end for 4 yards (tackle by Stephen Paea and Major Wright),0.810,0.800
1,4:47,2,6,KAN 32,0,0,Tyler Palko pass complete short left to Terrance Copper for 10 yards (tackle by Charles Tillman),0.800,1.730
1,4:19,1,10,KAN 42,0,0,"Tyler Palko pass incomplete deep middle intended for Steve Breaston. Penalty on Branden Albert: Offensive Holding, 10 yards (no play)",1.730,1.070
1,4:13,1,20,KAN 32,0,0,Tyler Palko sacked by Henry Melton for -10 yards,1.070,-1.510
1,3:42,2,30,KAN 22,0,0,Dexter McCluster right end for 9 yards (tackle by Lance Briggs),-1.510,-0.960
1,2:57,3,21,KAN 31,0,0,Tyler Palko sacked by Israel Idonije for -8 yards,-0.960,-1.830
1,2:28,4,29,KAN 23,0,0,Dustin Colquitt punts 36 yards,-1.830,-1.660
1,2:16,1,10,CHI 41,0,0,Caleb Hanie pass incomplete short right intended for Marion Barber (defended by Justin Houston),1.660,1.120
1,2:10,2,10,CHI 41,0,0,Marion Barber left tackle for 4 yards (tackle by Derrick O. Johnson),1.120,0.960
1,1:33,3,6,CHI 45,0,0,Caleb Hanie pass incomplete short left intended for Dane Sanzenbacher (defended by Travis Daniels),0.960,-0.390
