Quarter,Time,Tm,Detail,KAN,CHI
2.0,9:44,Bears,Robbie Gould 32 yard field goal,0,3
,0:00,Chiefs,Dexter McCluster 38 yard pass from Tyler Palko (Ryan Succop kick),7,3
3.0,6:16,Chiefs,Ryan Succop 21 yard field goal,10,3
