Unnamed: 0,NYG,PHI
First Downs,15,18
Rush-Yds-TDs,27-111-0,28-141-0
Cmp-Att-Yd-TD-INT,17-31-219-1-0,20-31-179-1-0
Sacked-Yards,2-12,3-14
Net Pass Yards,207,165
Total Yards,318,306
Fumbles-Lost,2-2,1-1
Turnovers,2,1
Penalties-Yards,3-15,7-41
Third Down Conv.,6-15,2-13
Fourth Down Conv.,0-0,2-3
Time of Possession,27:31,32:29
