Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
2,,,,MIA 2,0,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,0,7,"Michael Koenen kicks off 70 yards, returned by Ted Ginn for 14 yards (tackle by Eric Weems)",0.000,-0.280
2,8:31,1,10,MIA 14,0,7,Ricky Williams left end for 4 yards (tackle by Stephen Nicholas),-0.280,-0.210
2,7:49,2,6,MIA 18,0,7,Chad Pennington pass complete deep middle to Ted Ginn for 16 yards (tackle by Curtis Lofton),-0.210,1.200
2,7:06,1,10,MIA 34,0,7,Ronnie Brown middle for 4 yards (tackle by Mike Peterson),1.200,1.200
2,6:24,2,6,MIA 38,0,7,Pat White left end for no gain (tackle by Stephen Nicholas and Thomas Johnson),1.200,0.500
2,5:39,3,6,MIA 38,0,7,Chad Pennington pass incomplete,0.500,-0.850
2,5:31,4,6,MIA 38,0,7,"Brandon Fields punts 49 yards, returned by Eric Weems for 11 yards (tackle by Tyrone Culver)",-0.850,-0.540
2,5:22,1,10,ATL 24,0,7,Michael Turner right tackle for 3 yards (tackle by Joey Porter),0.540,0.400
2,4:57,2,7,ATL 27,0,7,"Penalty on Jason Taylor: Defensive Offside, 5 yards (no play)",0.400,1.080
2,4:49,2,2,ATL 32,0,7,Michael Turner middle for 1 yard (tackle by Jason Taylor),1.080,0.500
2,4:11,3,1,ATL 33,0,7,Matt Ryan pass incomplete short left intended for Tony Gonzalez,0.500,-1.180
2,4:07,4,1,ATL 33,0,7,"Michael Koenen punts 38 yards, returned by Davone Bess for 7 yards (tackle by Stephen Nicholas)",-1.180,-1.330
2,3:57,1,10,MIA 36,0,7,Ricky Williams right end for 7 yards (tackle by Stephen Nicholas),1.330,1.740
2,3:13,2,3,MIA 43,0,7,Pat White pass incomplete deep middle intended for Ted Ginn,1.740,1.030
2,3:06,3,3,MIA 43,0,7,Chad Pennington pass complete short left to Greg Camarillo for 15 yards (tackle by Chris Houston),1.030,2.790
,,,,,,,"MIA challenged the incomplete pass ruling, and the original play was overturned.",,
2,2:34,1,10,ATL 42,0,7,"Chad Pennington pass incomplete short right intended for Lousaka Polite. Penalty on John Abraham: Delay of Game, 5 yards",2.790,2.920
2,2:30,2,5,ATL 37,0,7,Chad Pennington pass complete short right to Joey Haynos for 21 yards (tackle by Brian Williams),2.920,4.510
2,2:00,1,10,ATL 16,0,7,"Chad Pennington pass complete short right to Anthony Fasano for no gain (tackle by Mike Peterson). Brian Williams fumbles (forced by Greg Camarillo), recovered by Brian Williams at MIA-26 for 53 yards (tackle by Greg Camarillo)",4.510,-3.510
2,1:43,1,10,MIA 31,0,7,Matt Ryan pass complete short right to Michael Jenkins for 11 yards (tackle by Yeremiah Bell),3.510,4.240
2,1:03,1,10,MIA 20,0,7,Matt Ryan sacked by Jason Taylor for -8 yards,4.240,2.610
2,0:58,,,,0,7,Timeout #1 by Atlanta Falcons,0.000,2.610
2,0:58,2,18,MIA 28,0,7,Matt Ryan pass complete short middle to Jerious Norwood for 10 yards (tackle by Gibril Wilson and Channing Crowder),2.610,3.220
2,0:42,,,,0,7,Timeout #1 by Miami Dolphins,0.000,3.220
2,0:42,3,8,MIA 18,0,7,Matt Ryan pass incomplete deep left intended for Jerious Norwood,3.220,2.250
2,0:36,4,8,MIA 18,0,10,Jason Elam 36 yard field goal good,2.250,3.000
2,,,,ATL 30,0,10,"Michael Koenen kicks off 73 yards, returned by Ted Ginn for 21 yards (tackle by Eric Weems)",0.000,0.040
2,0:24,1,10,MIA 18,0,10,Ricky Williams right tackle for no gain (tackle by Curtis Lofton and Peria Jerry),0.040,-0.490
Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,0,10,"Michael Koenen kicks off 74 yards, returned by Ted Ginn for 20 yards (tackle by Kroy Biermann)",0.000,-0.140
3,14:55,1,10,MIA 16,0,10,Lousaka Polite middle for 9 yards (tackle by Stephen Nicholas),-0.140,0.690
3,14:16,2,1,MIA 25,0,10,Lousaka Polite middle for -4 yards (tackle by Jonathan Babineaux),0.690,-0.700
3,13:36,3,5,MIA 21,0,10,Chad Pennington pass incomplete short left intended for Ted Ginn,-0.700,-1.960
3,13:29,4,5,MIA 21,0,10,Brandon Fields punts 50 yards,-1.960,-0.870
3,13:14,1,10,ATL 29,0,10,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Sean Smith),0.870,1.140
3,12:51,2,4,ATL 35,0,10,Michael Turner middle for 3 yards (tackle by Randy Starks),1.140,0.830
3,12:09,3,1,ATL 38,0,10,Matt Ryan pass incomplete deep middle intended for Roddy White (defended by Sean Smith),0.830,-0.850
3,12:00,4,1,ATL 38,0,10,"Michael Koenen punts 40 yards, returned by Davone Bess for 4 yards (tackle by Chris Owens)",-0.850,-0.670
3,11:52,1,10,MIA 26,0,10,Chad Pennington sacked by John Abraham for 0 yards,0.670,0.130
3,11:10,2,10,MIA 26,0,10,Chad Pennington pass complete short left to Ronnie Brown for 1 yard (tackle by Jonathan Babineaux),0.130,-0.430
3,10:24,3,9,MIA 27,0,10,Chad Pennington sacked by Kroy Biermann for -6 yards,-0.430,-1.960
3,10:07,4,15,MIA 21,0,10,"Brandon Fields punts 45 yards, returned by Eric Weems for 18 yards (tackle by John Denney)",-1.960,-2.390
3,9:54,1,10,MIA 48,0,10,Michael Turner right tackle for 2 yards (tackle by Phillip Merling),2.390,2.120
3,9:06,2,8,MIA 46,0,10,Matt Ryan sacked by Phillip Merling for -8 yards,2.120,0.370
3,8:32,3,16,ATL 46,0,10,Matt Ryan pass complete short middle to Jerious Norwood for 10 yards (tackle by Nate Jones),0.370,0.330
3,7:55,4,6,MIA 44,0,10,"Michael Koenen punts 44 yards, touchback",0.330,-0.280
3,7:47,1,10,MIA 20,0,10,Ronnie Brown right end for -1 yards (tackle by Chauncey Davis),0.280,-0.460
3,7:11,2,11,MIA 19,0,10,Ronnie Brown left end for 6 yards (tackle by Thomas DeCoud),-0.460,-0.300
3,6:29,3,5,MIA 25,0,10,Chad Pennington pass complete short right to Davone Bess for 14 yards (tackle by Brian Williams),-0.300,1.530
3,6:02,1,10,MIA 39,0,10,Ricky Williams middle for 4 yards (tackle by Curtis Lofton),1.530,1.530
3,5:24,2,6,MIA 43,0,10,Ricky Williams left end for 8 yards (tackle by Curtis Lofton),1.530,2.320
3,4:38,1,10,ATL 49,0,10,Ted Ginn right end for 8 yards (tackle by Thomas Johnson),2.320,2.860
3,3:54,2,2,ATL 41,0,10,Ronnie Brown middle for 3 yards (tackle by Mike Peterson),2.860,3.050
3,3:08,1,10,ATL 38,0,10,Ted Ginn left end for 1 yard,3.050,2.640
3,2:17,2,9,ATL 37,0,10,"Chad Pennington pass complete short right to Brian Hartline for 8 yards. Penalty on Brian Hartline: Offensive Pass Interfere, 10 yards (no play)",2.640,1.290
3,1:49,2,19,ATL 47,0,10,Chad Pennington pass incomplete short right intended for Anthony Fasano is intercepted by Mike Peterson at ATL-41 and returned for 39 yards,1.290,-4.240
3,1:39,1,10,MIA 20,0,10,Matt Ryan pass incomplete,4.240,3.690
3,1:31,2,10,MIA 20,0,10,Matt Ryan pass incomplete short left intended for Tony Gonzalez (defended by Yeremiah Bell),3.690,3.010
3,1:25,3,10,MIA 20,0,16,"Matt Ryan pass complete short right to Tony Gonzalez for 20 yards, touchdown",3.010,7.000
3,,,,MIA 2,0,16,Jason Elam kicks extra point no good,0.000,-1.000
3,,,,ATL 30,0,16,"Michael Koenen kicks off 72 yards, returned by Patrick Cobbs for 16 yards (tackle by Kroy Biermann)",0.000,-0.280
3,1:12,1,10,MIA 14,0,16,Ronnie Brown middle for 14 yards (tackle by Thomas DeCoud),-0.280,0.810
3,0:39,1,10,MIA 28,0,16,"Chad Pennington pass complete short left to Anthony Fasano for 10 yards (tackle by Curtis Lofton). Anthony Fasano fumbles (forced by Curtis Lofton), recovered by Jonathan Babineaux at MIA-38",0.810,-3.050
3,0:27,1,10,MIA 38,0,16,Michael Turner right end for 5 yards (tackle by Yeremiah Bell and Will Allen),3.050,3.180
Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,MIA 33,0,16,Michael Turner middle for 4 yards (tackle by Jason Ferguson),3.180,3.010
4,14:24,,,,0,16,Timeout #1 by Miami Dolphins,0.000,3.010
4,14:21,3,1,MIA 29,0,16,Matt Ryan pass complete short middle to Jason Snelling for 2 yards (tackle by Channing Crowder),3.010,3.780
4,13:40,1,10,MIA 27,0,16,Matt Ryan pass complete short right to Tony Gonzalez for 12 yards (tackle by Yeremiah Bell),3.780,4.580
4,13:15,1,10,MIA 15,0,16,Michael Turner left end for -5 yards (tackle by Phillip Merling),4.580,3.350
4,12:34,2,15,MIA 20,0,16,Matt Ryan pass incomplete short right intended for Roddy White,3.350,2.680
4,12:25,3,15,MIA 20,0,16,Matt Ryan pass incomplete short middle intended for Roddy White (defended by Will Allen),2.680,2.120
4,12:25,4,15,MIA 20,0,16,Jason Elam 38 yard field goal no good,2.120,-0.810
4,12:20,1,10,MIA 28,0,16,Chad Pennington pass complete short left to Greg Camarillo for 5 yards (tackle by Curtis Lofton),0.810,0.940
4,11:53,2,5,MIA 33,0,16,Chad Pennington pass incomplete short middle intended for Ted Ginn (defended by Jamaal Anderson),0.940,0.230
4,11:48,3,5,MIA 33,0,16,Chad Pennington pass complete short left to Davone Bess for no gain,0.230,-1.180
4,11:41,4,5,MIA 33,0,16,"Brandon Fields punts 38 yards, returned by Eric Weems for 2 yards (tackle by John Denney)",-1.180,-1.000
4,11:30,1,10,ATL 31,0,16,Matt Ryan pass complete short left to Ovie Mughelli for 21 yards (tackle by Gibril Wilson),1.000,2.390
4,11:02,1,10,MIA 48,0,16,Matt Ryan pass complete short right to Roddy White for 3 yards (tackle by Will Allen),2.390,2.250
4,10:32,2,7,MIA 45,0,16,Matt Ryan pass complete short left to Michael Jenkins for -3 yards (tackle by Vontae Davis),2.250,1.160
4,9:51,3,10,MIA 48,0,16,Matt Ryan pass complete short right to Jerious Norwood for 12 yards (tackle by Tony McDaniel),1.160,3.180
4,9:06,1,10,MIA 36,0,16,Michael Turner middle for no gain (tackle by Gibril Wilson),3.180,2.640
4,8:27,2,10,MIA 36,0,16,Jerious Norwood right tackle for 5 yards (tackle by Channing Crowder),2.640,2.610
4,7:45,3,5,MIA 31,0,16,Matt Ryan pass incomplete short middle intended for Tony Gonzalez (defended by Tyrone Culver),2.610,1.350
4,7:38,4,5,MIA 31,0,19,Jason Elam 50 yard field goal good,1.350,3.000
4,,,,ATL 30,0,19,"Michael Koenen kicks off 67 yards, returned by Patrick Cobbs for 21 yards (tackle by Coy Wire)",0.000,0.540
4,7:28,1,10,MIA 24,0,19,Chad Pennington pass incomplete short left intended for Ricky Williams,0.540,0.000
4,7:24,2,10,MIA 24,0,19,Chad Pennington pass incomplete short left intended for Ricky Williams,0.000,-0.690
4,7:19,3,10,MIA 24,0,19,Chad Pennington pass complete deep right to Davone Bess for 21 yards (tackle by Erik Coleman),-0.690,1.930
4,6:57,1,10,MIA 45,0,19,Chad Pennington pass complete short right to Ricky Williams for 10 yards (tackle by Mike Peterson),1.930,2.590
4,6:39,1,10,ATL 45,0,19,Ronnie Brown middle for 5 yards (tackle by Mike Peterson),2.590,2.720
4,6:19,2,5,ATL 40,0,19,Chad Pennington pass complete short middle to Ronnie Brown for 9 yards (tackle by Mike Peterson and Curtis Lofton),2.720,3.510
4,5:56,1,10,ATL 31,0,19,Ronnie Brown middle for 5 yards (tackle by Kroy Biermann),3.510,3.640
4,5:27,2,5,ATL 26,0,19,"Ricky Williams middle for no gain (tackle by John Abraham). Penalty on John Abraham: Defensive Offside, 5 yards (no play)",3.640,4.170
4,5:16,1,10,ATL 21,0,19,"Chad Pennington pass complete short left to Anthony Fasano for 21 yards. Penalty on Vernon Carey: Offensive Holding, 10 yards (no play)",4.170,3.510
4,4:50,1,20,ATL 31,0,19,Chad Pennington pass complete short right to Brian Hartline for 7 yards (tackle by Brent Grimes),3.510,3.220
4,4:44,2,13,ATL 24,0,19,Chad Pennington pass complete short left to Davone Bess for 9 yards (tackle by Curtis Lofton),3.220,3.810
4,4:14,3,4,ATL 15,0,19,Chad Pennington pass incomplete short middle intended for Ronnie Brown,3.810,2.520
4,4:10,4,4,ATL 15,0,19,Chad Pennington pass complete short right to Brian Hartline for 6 yards (tackle by Erik Coleman),2.520,5.140
4,3:29,1,9,ATL 9,6,19,"Chad Pennington pass complete short right to Ricky Williams for 9 yards, touchdown",5.140,7.000
4,,,,ATL 2,7,19,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,7,19,Brandon Fields kicks onside 10 yards and returned for 6 yards,0.000,3.310
4,3:18,1,10,MIA 34,7,19,Michael Turner left tackle for 2 yards (tackle by Yeremiah Bell),3.310,3.040
4,2:35,2,8,MIA 32,7,19,Michael Turner middle for 12 yards (tackle by Yeremiah Bell and Gibril Wilson),3.040,4.240
4,2:22,,,,7,19,Timeout #2 by Miami Dolphins,0.000,4.240
4,2:22,1,10,MIA 20,7,19,Michael Turner middle for 7 yards (tackle by Gibril Wilson),4.240,4.830
4,2:15,,,,7,19,Timeout #3 by Miami Dolphins,0.000,4.830
4,2:15,2,3,MIA 13,7,19,Michael Turner right end for 7 yards (tackle by Will Allen),4.830,5.830
4,2:00,1,6,MIA 6,7,19,Matt Ryan kneels for -1 yards,5.830,4.760
4,1:18,2,7,MIA 7,7,19,Matt Ryan kneels for -1 yards,4.760,3.580
4,0:38,3,8,MIA 8,7,19,Matt Ryan kneels for -2 yards,3.580,2.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
