Unnamed: 0,MIA,ATL
First Downs,16,19
Rush-Yds-TDs,22-96-0,27-68-0
Cmp-Att-Yd-TD-INT,21-30-176-1-1,22-36-229-2-0
Sacked-Yards,4-13,2-16
Net Pass Yards,163,213
Total Yards,259,281
Fumbles-Lost,3-3,1-0
Turnovers,4,0
Penalties-Yards,4-27,4-35
Third Down Conv.,4-11,6-15
Fourth Down Conv.,1-1,0-0
Time of Possession,29:07,30:53
