Quarter,Time,Tm,Detail,JAX,HOU
1.0,11:55,Texans,Andre Johnson 31 yard pass from Sage Rosenfels (Kris Brown kick),0,7
,6:29,Texans,Kris Brown 38 yard field goal,0,10
3.0,10:12,Texans,Kris Brown 50 yard field goal,0,13
,3:29,Jaguars,Josh Scobee 29 yard field goal,3,13
,0:46,Texans,Kris Brown 20 yard field goal,3,16
4.0,4:35,Texans,Steve Slaton 7 yard rush (Kris Brown kick),3,23
,2:11,Jaguars,Fred Taylor 4 yard rush (Josh Scobee kick),10,23
,2:04,Texans,Steve Slaton 40 yard rush (Kris Brown kick),10,30
,0:39,Jaguars,Reggie Williams 18 yard pass from David Garrard (Josh Scobee kick),17,30
