Quarter,Time,Tm,Detail,DAL,TAM
1.0,6:28,Cowboys,Dalton Schultz 22 yard pass from Dak Prescott (Brett Maher kick failed),6,0
2.0,6:13,Cowboys,Dak Prescott 1 yard rush (Brett Maher kick failed),12,0
,0:27,Cowboys,Dalton Schultz 11 yard pass from Dak Prescott (Brett Maher kick failed),18,0
3.0,10:04,Cowboys,Michael Gallup 2 yard pass from Dak Prescott (Brett Maher kick failed),24,0
,0:00,Buccaneers,Julio Jones 30 yard pass from Tom Brady (pass failed),24,6
4.0,10:13,Cowboys,CeeDee Lamb 18 yard pass from Dak Prescott (Brett Maher kick),31,6
,2:04,Buccaneers,Cameron Brate 8 yard pass from Tom Brady (Mike Evans pass from Tom Brady),31,14
