Unnamed: 0,DAL,TAM
First Downs,26,24
Rush-Yds-TDs,35-128-1,12-52-0
Cmp-Att-Yd-TD-INT,25-33-305-4-0,35-66-351-2-1
Sacked-Yards,1-8,2-17
Net Pass Yards,297,334
Total Yards,425,386
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,2-15,3-34
Third Down Conv.,7-13,10-18
Fourth Down Conv.,2-2,1-3
Time of Possession,34:34,25:26
